config,dev_omega,eval_omega,crit_dev,crit_eval
raw-k1,58.7259,55.8287,0.6233,0.6507
conf-soft-m0-k1,56.2905,59.341,0.4948,0.5111
conf-soft-m10-k1,56.8384,58.4753,0.5622,0.5923
conf-soft-m30-k1,57.3199,57.5615,0.593,0.6255
conf-soft-m100-k1,58.073,56.7029,0.6124,0.6406
conf-soft-m300-k1,58.6481,56.3015,0.618,0.6459
ratio-soft-k1,58.7233,58.7189,0.5678,0.541
zscore-soft-k1,58.5508,58.7147,0.5833,0.536
conf-hard-m0-k1,58.2585,59.5039,0.4987,0.5344
conf-hard-m10-k1,58.1981,58.6091,0.5488,0.5723
conf-hard-m30-k1,58.1148,57.789,0.5856,0.6186
conf-hard-m100-k1,58.2715,56.7362,0.6103,0.6395
conf-hard-m300-k1,58.6149,56.309,0.6173,0.6452
ratio-hard-k1,58.3435,59.2871,0.5045,0.547
zscore-hard-k1,58.1962,59.3482,0.5239,0.5651
raw-k2,57.7241,55.233,0.6689,0.6903
conf-soft-m0-k2,56.0658,59.2719,0.5275,0.5073
conf-soft-m10-k2,56.5229,58.3506,0.5913,0.6203
conf-soft-m30-k2,57.0775,57.2659,0.6351,0.657
conf-soft-m100-k2,57.8203,56.3749,0.657,0.6788
conf-soft-m300-k2,58.3265,55.8,0.6631,0.6856
ratio-soft-k2,58.6235,58.2598,0.5982,0.543
zscore-soft-k2,58.5735,58.3355,0.6214,0.5355
conf-hard-m0-k2,58.1478,59.5508,0.5298,0.5292
conf-hard-m10-k2,58.0449,58.7685,0.5741,0.5939
conf-hard-m30-k2,57.9299,57.7558,0.6259,0.647
conf-hard-m100-k2,58.0409,56.5169,0.6537,0.6736
conf-hard-m300-k2,58.3197,55.9139,0.6619,0.6839
ratio-hard-k2,58.1219,59.3484,0.5261,0.5195
zscore-hard-k2,58.1651,59.4695,0.56,0.5652
raw-k4,55.6954,54.3856,0.7217,0.7303
conf-soft-m0-k4,55.6482,58.7823,0.5427,0.5297
conf-soft-m10-k4,56.1986,57.656,0.6361,0.6574
conf-soft-m30-k4,56.3888,56.7626,0.6828,0.6981
conf-soft-m100-k4,57.0124,55.8123,0.7056,0.7184
conf-soft-m300-k4,57.3851,55.0956,0.7143,0.7252
ratio-soft-k4,58.3535,58.0041,0.6074,0.5828
zscore-soft-k4,58.324,57.8922,0.6393,0.5465
conf-hard-m0-k4,57.6478,59.4222,0.546,0.528
conf-hard-m10-k4,57.5697,58.5574,0.6156,0.6247
conf-hard-m30-k4,57.2204,57.3709,0.6728,0.6815
conf-hard-m100-k4,57.184,56.086,0.7023,0.7117
conf-hard-m300-k4,57.3242,55.3873,0.7128,0.7229
ratio-hard-k4,57.7895,59.3183,0.5369,0.5103
zscore-hard-k4,57.7839,59.2653,0.5769,0.5685
ldn-ratio-K1,56.4661,61.0388,0.4878,0.5084
ldn-ratio-K16,57.2386,61.0402,0.6072,0.4877
ldn-diff-K1,57.9364,60.2334,0.5365,0.5555
ldn-diff-K16,50.3857,49.677,0.5003,0.4731
conf-soft-m0-ldnK1,56.5616,61.0518,0.4788,0.498
conf-soft-m30-ldnK1,56.6041,61.0329,0.481,0.5003
