split,machine,config,auc_source,auc_target,pauc,balance_ks
dev,bearing,raw-k1,60.56,48.02,57.53,0.4354
dev,bearing,conf-soft-m0-k1,60.34,49.08,57.58,0.4503
dev,bearing,conf-soft-m10-k1,60.44,48.58,57.58,0.439
dev,bearing,conf-soft-m30-k1,60.46,48.26,57.63,0.4366
dev,bearing,conf-soft-m100-k1,60.48,48.14,57.58,0.4358
dev,bearing,conf-soft-m300-k1,60.52,48.12,57.58,0.4349
dev,bearing,ratio-soft-k1,60.46,49.06,57.47,0.4483
dev,bearing,zscore-soft-k1,60.24,48.84,57.26,0.4446
dev,bearing,conf-hard-m0-k1,60.56,49.28,57.53,0.4378
dev,bearing,conf-hard-m10-k1,60.56,48.8,57.53,0.4356
dev,bearing,conf-hard-m30-k1,60.56,48.46,57.53,0.4356
dev,bearing,conf-hard-m100-k1,60.56,48.16,57.53,0.4354
dev,bearing,conf-hard-m300-k1,60.56,48.06,57.53,0.4354
dev,bearing,ratio-hard-k1,60.56,49.66,57.53,0.437
dev,bearing,zscore-hard-k1,60.56,49.3,57.53,0.4378
dev,bearing,raw-k2,59.88,47.78,57.79,0.4945
dev,bearing,conf-soft-m0-k2,59.3,48.56,57.42,0.5055
dev,bearing,conf-soft-m10-k2,59.66,48.16,57.47,0.4974
dev,bearing,conf-soft-m30-k2,59.7,47.96,57.74,0.4966
dev,bearing,conf-soft-m100-k2,59.82,47.84,57.79,0.4952
dev,bearing,conf-soft-m300-k2,59.84,47.74,57.79,0.4947
dev,bearing,ratio-soft-k2,59.7,48.76,57.47,0.5018
dev,bearing,zscore-soft-k2,59.36,48.5,57.95,0.5014
dev,bearing,conf-hard-m0-k2,59.88,48.9,57.79,0.4976
dev,bearing,conf-hard-m10-k2,59.88,48.36,57.79,0.496
dev,bearing,conf-hard-m30-k2,59.88,48.14,57.79,0.4952
dev,bearing,conf-hard-m100-k2,59.88,47.88,57.79,0.4947
dev,bearing,conf-hard-m300-k2,59.88,47.8,57.79,0.4947
dev,bearing,ratio-hard-k2,59.88,49.84,57.79,0.4974
dev,bearing,zscore-hard-k2,59.88,48.82,57.79,0.4976
dev,bearing,raw-k4,58.64,47.28,56.95,0.523
dev,bearing,conf-soft-m0-k4,58.16,48.52,57.16,0.5228
dev,bearing,conf-soft-m10-k4,58.6,47.9,57.05,0.5232
dev,bearing,conf-soft-m30-k4,58.7,47.68,57.05,0.5228
dev,bearing,conf-soft-m100-k4,58.72,47.44,57.0,0.5232
dev,bearing,conf-soft-m300-k4,58.72,47.42,56.95,0.523
dev,bearing,ratio-soft-k4,58.34,48.34,56.68,0.5192
dev,bearing,zscore-soft-k4,58.12,48.3,57.84,0.5099
dev,bearing,conf-hard-m0-k4,58.64,48.54,56.95,0.5259
dev,bearing,conf-hard-m10-k4,58.64,48.0,56.95,0.5236
dev,bearing,conf-hard-m30-k4,58.64,47.68,56.95,0.5236
dev,bearing,conf-hard-m100-k4,58.64,47.46,56.95,0.523
dev,bearing,conf-hard-m300-k4,58.64,47.38,56.95,0.523
dev,bearing,ratio-hard-k4,58.64,49.34,56.95,0.5257
dev,bearing,zscore-hard-k4,58.64,48.36,56.89,0.5255
dev,bearing,ldn-ratio-K1,67.44,64.38,62.47,0.4857
dev,bearing,ldn-ratio-K16,70.96,62.4,59.68,0.4457
dev,bearing,ldn-diff-K1,66.3,61.12,60.63,0.4614
dev,bearing,ldn-diff-K16,61.1,62.36,54.84,0.3295
dev,bearing,conf-soft-m0-ldnK1,67.06,64.24,62.47,0.4857
dev,bearing,conf-soft-m30-ldnK1,67.14,64.36,62.53,0.4857
dev,fan,raw-k1,61.2,41.2,48.79,0.3586
dev,fan,conf-soft-m0-k1,52.34,49.74,48.42,0.4697
dev,fan,conf-soft-m10-k1,56.04,46.1,48.0,0.3354
dev,fan,conf-soft-m30-k1,58.3,43.4,48.42,0.3309
dev,fan,conf-soft-m100-k1,60.18,42.12,48.63,0.3481
dev,fan,conf-soft-m300-k1,60.7,41.58,48.74,0.3529
dev,fan,ratio-soft-k1,56.0,45.36,48.63,0.4206
dev,fan,zscore-soft-k1,52.14,48.98,48.42,0.5232
dev,fan,conf-hard-m0-k1,52.34,49.76,48.42,0.4699
dev,fan,conf-hard-m10-k1,56.04,46.14,48.0,0.3352
dev,fan,conf-hard-m30-k1,58.3,43.42,48.42,0.3309
dev,fan,conf-hard-m100-k1,60.18,42.14,48.68,0.3481
dev,fan,conf-hard-m300-k1,60.7,41.6,48.79,0.3529
dev,fan,ratio-hard-k1,56.0,45.38,48.68,0.4218
dev,fan,zscore-hard-k1,52.14,49.0,48.42,0.5242
dev,fan,raw-k2,65.12,37.44,48.74,0.5584
dev,fan,conf-soft-m0-k2,55.82,46.48,48.89,0.5178
dev,fan,conf-soft-m10-k2,59.12,42.34,48.74,0.3869
dev,fan,conf-soft-m30-k2,61.46,39.98,48.79,0.4824
dev,fan,conf-soft-m100-k2,63.86,38.4,48.74,0.5311
dev,fan,conf-soft-m300-k2,64.86,37.78,48.74,0.5434
