config,dev_omega,eval_omega,crit_dev,crit_eval
raw-k1,59.9274,56.5909,0.6453,0.602
conf-soft-m0-k1,57.2423,58.874,0.5332,0.4803
conf-soft-m10-k1,57.5397,58.1073,0.5886,0.5544
conf-soft-m30-k1,58.054,57.5018,0.6196,0.5809
conf-soft-m100-k1,58.7264,57.0593,0.636,0.5932
conf-soft-m300-k1,59.3137,56.766,0.641,0.5978
ratio-soft-k1,59.4539,58.4777,0.6067,0.5004
zscore-soft-k1,59.4756,58.4536,0.6038,0.5145
conf-hard-m0-k1,59.7823,58.8656,0.5546,0.5043
conf-hard-m10-k1,59.5486,58.2748,0.5844,0.5514
conf-hard-m30-k1,59.4862,57.7108,0.6175,0.5793
conf-hard-m100-k1,59.5838,57.1688,0.6363,0.5928
conf-hard-m300-k1,59.742,56.8186,0.6412,0.5975
ratio-hard-k1,59.6057,59.0021,0.557,0.4919
zscore-hard-k1,59.6261,58.7839,0.5618,0.5304
raw-k2,58.4837,56.075,0.695,0.6366
conf-soft-m0-k2,56.5283,58.5337,0.5482,0.4719
conf-soft-m10-k2,56.9759,57.7361,0.6138,0.573
conf-soft-m30-k2,57.4439,57.2239,0.6574,0.6081
conf-soft-m100-k2,58.2,56.5362,0.6814,0.6251
conf-soft-m300-k2,58.6854,56.2057,0.6896,0.6317
ratio-soft-k2,59.0627,57.9085,0.5998,0.5085
zscore-soft-k2,59.1483,58.0872,0.6247,0.4955
conf-hard-m0-k2,59.3966,58.6938,0.573,0.4852
conf-hard-m10-k2,59.2159,57.9747,0.6085,0.5584
conf-hard-m30-k2,59.1189,57.2989,0.6566,0.6012
conf-hard-m100-k2,59.1471,56.6211,0.6817,0.6233
conf-hard-m300-k2,59.1592,56.3249,0.6897,0.6312
ratio-hard-k2,59.2955,58.5863,0.562,0.4899
zscore-hard-k2,59.4043,58.5845,0.5969,0.5161
raw-k4,56.1236,55.6286,0.7229,0.649
conf-soft-m0-k4,55.861,58.1477,0.5406,0.4714
conf-soft-m10-k4,56.4623,57.4146,0.6463,0.5875
conf-soft-m30-k4,56.7126,56.8643,0.6878,0.6212
conf-soft-m100-k4,57.1536,56.335,0.7109,0.6381
conf-soft-m300-k4,57.4074,55.9745,0.7181,0.6442
ratio-soft-k4,58.8636,57.7744,0.5969,0.5176
zscore-soft-k4,58.6565,57.7465,0.5888,0.4933
conf-hard-m0-k4,58.8989,58.5862,0.5598,0.4711
conf-hard-m10-k4,58.7594,57.7784,0.6424,0.5631
conf-hard-m30-k4,58.3718,57.0714,0.6883,0.6083
conf-hard-m100-k4,58.1067,56.4253,0.7116,0.6339
conf-hard-m300-k4,57.8487,56.0198,0.718,0.6426
ratio-hard-k4,58.9384,58.4541,0.5549,0.4751
zscore-hard-k4,58.7761,58.4492,0.5761,0.5081
ldn-ratio-K1,54.4136,59.7621,0.5233,0.5013
ldn-ratio-K16,55.1454,58.9741,0.6325,0.4986
ldn-diff-K1,59.1766,59.6628,0.5722,0.5297
ldn-diff-K16,46.0318,45.2551,0.4501,0.4752
conf-soft-m0-ldnK1,54.3875,59.7462,0.5128,0.5005
conf-soft-m30-ldnK1,54.4453,59.7237,0.5154,0.5016
