split,machine,config,auc_source,auc_target,pauc,balance_ks
dev,bearing,raw-k1,64.94,52.1,56.21,0.5467
dev,bearing,conf-soft-m0-k1,63.26,53.22,56.21,0.5178
dev,bearing,conf-soft-m10-k1,64.08,52.52,56.21,0.5396
dev,bearing,conf-soft-m30-k1,64.62,52.46,56.16,0.5436
dev,bearing,conf-soft-m100-k1,64.74,52.22,56.21,0.5457
dev,bearing,conf-soft-m300-k1,64.82,52.14,56.21,0.5459
dev,bearing,ratio-soft-k1,63.92,53.18,56.26,0.5307
dev,bearing,zscore-soft-k1,63.72,53.28,56.26,0.4937
dev,bearing,conf-hard-m0-k1,64.72,54.44,56.21,0.5489
dev,bearing,conf-hard-m10-k1,64.76,53.36,56.21,0.5477
dev,bearing,conf-hard-m30-k1,64.84,52.66,56.21,0.5469
dev,bearing,conf-hard-m100-k1,64.9,52.32,56.21,0.5469
dev,bearing,conf-hard-m300-k1,64.9,52.24,56.21,0.5467
dev,bearing,ratio-hard-k1,64.76,54.42,56.21,0.5489
dev,bearing,zscore-hard-k1,64.72,54.48,56.21,0.5489
dev,bearing,raw-k2,64.02,50.88,56.63,0.5465
dev,bearing,conf-soft-m0-k2,62.3,51.42,56.42,0.5214
dev,bearing,conf-soft-m10-k2,63.08,51.08,56.37,0.5362
dev,bearing,conf-soft-m30-k2,63.46,50.88,56.47,0.5424
dev,bearing,conf-soft-m100-k2,63.84,50.94,56.58,0.5446
dev,bearing,conf-soft-m300-k2,63.92,50.88,56.63,0.5459
dev,bearing,ratio-soft-k2,62.8,51.76,56.42,0.5218
dev,bearing,zscore-soft-k2,62.42,51.44,56.68,0.5065
dev,bearing,conf-hard-m0-k2,63.78,53.34,56.63,0.5485
dev,bearing,conf-hard-m10-k2,63.82,52.4,56.63,0.5481
dev,bearing,conf-hard-m30-k2,63.88,51.64,56.63,0.5471
dev,bearing,conf-hard-m100-k2,63.96,51.2,56.63,0.5467
dev,bearing,conf-hard-m300-k2,64.0,51.02,56.63,0.5467
dev,bearing,ratio-hard-k2,63.82,53.86,56.63,0.5487
dev,bearing,zscore-hard-k2,63.78,53.78,56.63,0.5491
dev,bearing,raw-k4,63.3,48.94,56.79,0.5329
dev,bearing,conf-soft-m0-k4,61.46,49.92,56.58,0.5063
dev,bearing,conf-soft-m10-k4,62.48,49.64,56.79,0.5238
dev,bearing,conf-soft-m30-k4,62.92,49.16,56.79,0.5285
dev,bearing,conf-soft-m100-k4,63.08,49.02,56.79,0.5315
dev,bearing,conf-soft-m300-k4,63.16,49.04,56.79,0.5325
dev,bearing,ratio-soft-k4,62.18,49.98,56.63,0.5077
dev,bearing,zscore-soft-k4,61.7,49.88,56.79,0.4921
dev,bearing,conf-hard-m0-k4,63.14,51.46,56.79,0.5356
dev,bearing,conf-hard-m10-k4,63.18,50.4,56.79,0.5343
dev,bearing,conf-hard-m30-k4,63.26,49.82,56.79,0.5333
dev,bearing,conf-hard-m100-k4,63.26,49.36,56.79,0.5329
dev,bearing,conf-hard-m300-k4,63.28,49.16,56.79,0.5329
dev,bearing,ratio-hard-k4,63.18,52.06,56.79,0.5354
dev,bearing,zscore-hard-k4,63.14,51.58,56.79,0.5356
dev,bearing,ldn-ratio-K1,64.2,67.3,60.11,0.4521
dev,bearing,ldn-ratio-K16,66.18,63.68,58.95,0.5681
dev,bearing,ldn-diff-K1,66.7,67.14,60.47,0.4511
dev,bearing,ldn-diff-K16,57.2,57.3,51.11,0.3127
dev,bearing,conf-soft-m0-ldnK1,64.24,67.48,60.16,0.4495
dev,bearing,conf-soft-m30-ldnK1,64.22,67.4,60.16,0.4511
dev,fan,raw-k1,58.42,48.9,49.58,0.3673
dev,fan,conf-soft-m0-k1,55.28,53.86,48.89,0.4277
dev,fan,conf-soft-m10-k1,56.22,51.36,48.68,0.3481
dev,fan,conf-soft-m30-k1,57.02,50.16,49.05,0.3554
dev,fan,conf-soft-m100-k1,57.92,49.4,49.63,0.3606
dev,fan,conf-soft-m300-k1,58.14,49.22,49.63,0.3628
dev,fan,ratio-soft-k1,58.48,48.72,49.58,0.4349
dev,fan,zscore-soft-k1,53.42,53.52,48.74,0.457
dev,fan,conf-hard-m0-k1,55.26,54.02,48.95,0.4394
dev,fan,conf-hard-m10-k1,56.2,51.48,48.74,0.3459
dev,fan,conf-hard-m30-k1,56.98,50.22,48.95,0.3529
dev,fan,conf-hard-m100-k1,57.92,49.46,49.74,0.3598
dev,fan,conf-hard-m300-k1,58.14,49.18,49.63,0.3624
dev,fan,ratio-hard-k1,58.5,48.7,49.58,0.4808
dev,fan,zscore-hard-k1,53.24,54.1,48.84,0.463
dev,fan,raw-k2,63.82,45.96,48.79,0.6947
dev,fan,conf-soft-m0-k2,55.84,54.42,48.42,0.4675
dev,fan,conf-soft-m10-k2,59.72,50.24,48.53,0.4689
dev,fan,conf-soft-m30-k2,61.3,48.3,48.47,0.5943
dev,fan,conf-soft-m100-k2,62.6,46.76,48.58,0.6547
dev,fan,conf-soft-m300-k2,63.38,46.26,48.74,0.6808
dev,fan,ratio-soft-k2,62.94,46.82,48.74,0.3479
dev,fan,zscore-soft-k2,56.32,53.36,48.47,0.5491
dev,fan,conf-hard-m0-k2,55.64,54.56,48.42,0.5362
dev,fan,conf-hard-m10-k2,59.66,50.28,48.53,0.4612
dev,fan,conf-hard-m30-k2,61.12,48.24,48.42,0.5899
dev,fan,conf-hard-m100-k2,62.46,46.76,48.47,0.6533
dev,fan,conf-hard-m300-k2,63.3,46.26,48.74,0.6796
dev,fan,ratio-hard-k2,62.9,46.78,48.79,0.4626
dev,fan,zscore-hard-k2,56.06,53.6,48.53,0.62
dev,fan,raw-k4,70.96,35.74,48.05,0.9834
dev,fan,conf-soft-m0-k4,48.7,61.42,48.26,0.4273
dev,fan,conf-soft-m10-k4,59.7,48.74,48.05,0.7279
dev,fan,conf-soft-m30-k4,64.48,41.88,48.21,0.8648
dev,fan,conf-soft-m100-k4,67.84,38.04,48.32,0.9444
dev,fan,conf-soft-m300-k4,69.68,36.54,48.21,0.964
dev,fan,ratio-soft-k4,53.22,56.4,48.32,0.4281
dev,fan,zscore-soft-k4,47.94,60.84,48.21,0.3695
