config,dev_omega,eval_omega,crit_dev,crit_eval
raw-k1,55.3769,54.2253,0.5493,0.5208
conf-soft-m0-k1,57.5459,55.5515,0.4927,0.4542
conf-soft-m10-k1,57.0788,55.1851,0.5171,0.4935
conf-soft-m30-k1,56.5474,54.8886,0.5354,0.5063
conf-soft-m100-k1,56.1344,54.5962,0.5442,0.5143
conf-soft-m300-k1,55.7686,54.4114,0.5463,0.518
ratio-soft-k1,57.1785,55.3344,0.4893,0.4704
zscore-soft-k1,56.8865,55.0824,0.5084,0.4702
conf-hard-m0-k1,57.3618,54.9572,0.4963,0.4467
conf-hard-m10-k1,56.8807,54.8438,0.5121,0.4843
conf-hard-m30-k1,56.3459,54.7666,0.5349,0.5018
conf-hard-m100-k1,56.0039,54.4908,0.5444,0.5124
conf-hard-m300-k1,55.6996,54.344,0.5466,0.517
ratio-hard-k1,57.3819,55.0893,0.4867,0.4658
zscore-hard-k1,57.3345,55.094,0.5045,0.4631
raw-k2,55.0068,54.3377,0.5801,0.5184
conf-soft-m0-k2,57.5253,55.681,0.4958,0.4517
conf-soft-m10-k2,56.9819,55.2839,0.5398,0.4888
conf-soft-m30-k2,56.3195,55.078,0.5618,0.5032
conf-soft-m100-k2,55.7821,54.7332,0.5733,0.5126
conf-soft-m300-k2,55.3806,54.5652,0.5773,0.5154
ratio-soft-k2,57.021,55.2061,0.5053,0.4639
zscore-soft-k2,56.7651,55.2057,0.5219,0.4611
conf-hard-m0-k2,57.3061,55.175,0.5049,0.4409
conf-hard-m10-k2,56.7566,55.1017,0.5361,0.4834
conf-hard-m30-k2,56.1469,54.9296,0.5625,0.4996
conf-hard-m100-k2,55.6115,54.7091,0.574,0.5109
conf-hard-m300-k2,55.4154,54.5344,0.5778,0.5147
ratio-hard-k2,57.3078,54.9229,0.4988,0.4578
zscore-hard-k2,57.2327,55.1474,0.524,0.4607
raw-k4,54.2079,54.2498,0.5912,0.5171
conf-soft-m0-k4,57.1515,55.5512,0.495,0.4548
conf-soft-m10-k4,56.3229,55.2503,0.5521,0.4891
conf-soft-m30-k4,55.6386,54.9391,0.5745,0.503
conf-soft-m100-k4,54.9865,54.6223,0.5853,0.5111
conf-soft-m300-k4,54.598,54.4583,0.5887,0.5143
ratio-soft-k4,56.5214,55.3669,0.5074,0.4726
zscore-soft-k4,56.3094,55.2266,0.5163,0.4703
conf-hard-m0-k4,57.0172,55.3604,0.5037,0.4415
conf-hard-m10-k4,56.2691,55.0946,0.5477,0.4832
conf-hard-m30-k4,55.5642,54.7939,0.5737,0.501
conf-hard-m100-k4,54.9874,54.4982,0.5854,0.511
conf-hard-m300-k4,54.6634,54.3854,0.589,0.5143
ratio-hard-k4,57.0467,55.1029,0.4969,0.4583
zscore-hard-k4,56.8993,55.1902,0.5198,0.4585
ldn-ratio-K1,58.8339,55.7567,0.4578,0.4457
ldn-ratio-K16,59.884,56.8306,0.5263,0.4858
ldn-diff-K1,58.3459,55.7442,0.4905,0.4496
ldn-diff-K16,43.814,44.7603,0.4823,0.5415
conf-soft-m0-ldnK1,58.8586,55.5806,0.4408,0.4466
conf-soft-m30-ldnK1,58.8376,55.5888,0.4439,0.4468
