split,machine,config,auc_source,auc_target,pauc,balance_ks
dev,bearing,raw-k1,56.8,48.48,49.37,0.3527
dev,bearing,conf-soft-m0-k1,56.28,49.02,49.37,0.344
dev,bearing,conf-soft-m10-k1,56.58,48.82,49.37,0.3493
dev,bearing,conf-soft-m30-k1,56.62,48.66,49.32,0.3507
dev,bearing,conf-soft-m100-k1,56.66,48.64,49.37,0.3513
dev,bearing,conf-soft-m300-k1,56.68,48.54,49.42,0.3517
dev,bearing,ratio-soft-k1,56.34,48.92,49.37,0.3416
dev,bearing,zscore-soft-k1,56.54,48.74,49.42,0.3368
dev,bearing,conf-hard-m0-k1,56.9,48.94,49.37,0.3531
dev,bearing,conf-hard-m10-k1,56.86,48.72,49.37,0.3531
dev,bearing,conf-hard-m30-k1,56.82,48.68,49.37,0.3527
dev,bearing,conf-hard-m100-k1,56.82,48.5,49.37,0.3527
dev,bearing,conf-hard-m300-k1,56.82,48.48,49.37,0.3527
dev,bearing,ratio-hard-k1,56.88,48.74,49.37,0.3521
dev,bearing,zscore-hard-k1,56.92,48.92,49.37,0.3529
dev,bearing,raw-k2,56.9,48.58,49.37,0.3525
dev,bearing,conf-soft-m0-k2,56.24,49.0,49.37,0.3493
dev,bearing,conf-soft-m10-k2,56.62,48.72,49.47,0.3511
dev,bearing,conf-soft-m30-k2,56.7,48.6,49.47,0.3519
dev,bearing,conf-soft-m100-k2,56.8,48.6,49.42,0.3519
dev,bearing,conf-soft-m300-k2,56.82,48.62,49.37,0.3519
dev,bearing,ratio-soft-k2,56.44,48.78,49.42,0.342
dev,bearing,zscore-soft-k2,56.48,48.78,49.42,0.338
dev,bearing,conf-hard-m0-k2,56.98,49.02,49.37,0.3525
dev,bearing,conf-hard-m10-k2,56.92,48.82,49.37,0.3527
dev,bearing,conf-hard-m30-k2,56.88,48.74,49.37,0.3525
dev,bearing,conf-hard-m100-k2,56.88,48.64,49.37,0.3525
dev,bearing,conf-hard-m300-k2,56.9,48.62,49.37,0.3525
dev,bearing,ratio-hard-k2,56.92,48.8,49.37,0.3523
dev,bearing,zscore-hard-k2,56.98,49.0,49.37,0.3529
dev,bearing,raw-k4,56.38,48.44,49.26,0.3584
dev,bearing,conf-soft-m0-k4,55.82,48.86,49.26,0.3527
dev,bearing,conf-soft-m10-k4,56.14,48.82,49.32,0.356
dev,bearing,conf-soft-m30-k4,56.3,48.62,49.37,0.3566
dev,bearing,conf-soft-m100-k4,56.3,48.54,49.32,0.357
dev,bearing,conf-soft-m300-k4,56.34,48.52,49.37,0.3578
dev,bearing,ratio-soft-k4,56.12,48.64,49.32,0.3547
dev,bearing,zscore-soft-k4,56.18,48.94,49.32,0.3491
dev,bearing,conf-hard-m0-k4,56.5,48.76,49.26,0.3588
dev,bearing,conf-hard-m10-k4,56.42,48.62,49.26,0.3586
dev,bearing,conf-hard-m30-k4,56.4,48.58,49.26,0.3586
dev,bearing,conf-hard-m100-k4,56.4,48.48,49.26,0.3584
dev,bearing,conf-hard-m300-k4,56.4,48.48,49.26,0.3584
dev,bearing,ratio-hard-k4,56.46,48.6,49.26,0.3584
dev,bearing,zscore-hard-k4,56.48,48.78,49.26,0.3586
dev,bearing,ldn-ratio-K1,60.68,58.56,59.05,0.3572
dev,bearing,ldn-ratio-K16,60.82,56.36,57.89,0.4113
dev,bearing,ldn-diff-K1,58.84,49.98,50.95,0.3214
dev,bearing,ldn-diff-K16,57.0,52.28,50.16,0.3008
dev,bearing,conf-soft-m0-ldnK1,60.46,58.48,58.84,0.3541
dev,bearing,conf-soft-m30-ldnK1,60.46,58.46,58.89,0.3552
dev,fan,raw-k1,74.6,30.14,48.84,0.6802
dev,fan,conf-soft-m0-k1,60.04,45.74,49.05,0.4295
dev,fan,conf-soft-m10-k1,68.56,38.52,48.79,0.4903
dev,fan,conf-soft-m30-k1,71.76,34.32,48.68,0.5978
dev,fan,conf-soft-m100-k1,73.36,32.06,48.84,0.6513
dev,fan,conf-soft-m300-k1,74.06,30.78,48.84,0.6642
dev,fan,ratio-soft-k1,62.76,44.64,48.84,0.3366
dev,fan,zscore-soft-k1,62.08,43.82,48.68,0.4774
dev,fan,conf-hard-m0-k1,59.18,46.96,49.05,0.4675
dev,fan,conf-hard-m10-k1,68.34,39.08,48.79,0.4887
dev,fan,conf-hard-m30-k1,71.56,34.64,48.68,0.597
dev,fan,conf-hard-m100-k1,73.38,32.38,48.84,0.6511
dev,fan,conf-hard-m300-k1,74.06,30.8,48.84,0.664
dev,fan,ratio-hard-k1,61.98,45.94,48.84,0.3885
dev,fan,zscore-hard-k1,61.54,45.1,48.68,0.5095
dev,fan,raw-k2,75.98,29.16,48.74,0.8438
dev,fan,conf-soft-m0-k2,60.62,45.94,49.11,0.4182
dev,fan,conf-soft-m10-k2,68.72,37.96,48.68,0.6012
dev,fan,conf-soft-m30-k2,72.38,33.5,48.63,0.7339
dev,fan,conf-soft-m100-k2,74.52,30.66,48.74,0.8048
dev,fan,conf-soft-m300-k2,75.42,29.74,48.74,0.8281
dev,fan,ratio-soft-k2,63.92,43.94,48.89,0.3719
dev,fan,zscore-soft-k2,61.24,44.36,48.58,0.5152
dev,fan,conf-hard-m0-k2,59.82,47.1,49.16,0.4988
dev,fan,conf-hard-m10-k2,68.36,39.04,48.68,0.5976
dev,fan,conf-hard-m30-k2,72.26,33.92,48.63,0.7319
dev,fan,conf-hard-m100-k2,74.46,30.88,48.74,0.803
dev,fan,conf-hard-m300-k2,75.4,29.88,48.74,0.8281
dev,fan,ratio-hard-k2,62.88,45.84,48.89,0.42
dev,fan,zscore-hard-k2,60.34,46.14,48.58,0.5592
dev,fan,raw-k4,78.58,26.2,48.53,0.9598
dev,fan,conf-soft-m0-k4,60.6,44.14,48.68,0.4103
dev,fan,conf-soft-m10-k4,70.8,34.46,48.47,0.7158
dev,fan,conf-soft-m30-k4,74.52,30.14,48.53,0.8564
dev,fan,conf-soft-m100-k4,76.88,27.72,48.53,0.9251
dev,fan,conf-soft-m300-k4,77.88,26.78,48.53,0.9463
dev,fan,ratio-soft-k4,64.86,41.94,48.84,0.4063
dev,fan,zscore-soft-k4,59.86,43.42,48.53,0.4925
dev,fan,conf-hard-m0-k4,59.26,46.9,48.63,0.4984
dev,fan,conf-hard-m10-k4,70.0,36.1,48.47,0.6958
dev,fan,conf-hard-m30-k4,74.28,31.14,48.53,0.8457
dev,fan,conf-hard-m100-k4,76.72,28.26,48.53,0.92
dev,fan,conf-hard-m300-k4,77.8,26.98,48.53,0.9448
dev,fan,ratio-hard-k4,63.26,45.52,48.84,0.4368
dev,fan,zscore-hard-k4,58.36,45.34,48.53,0.5549
dev,fan,ldn-ratio-K1,57.02,45.48,48.84,0.5099
dev,fan,ldn-ratio-K16,40.34,65.6,51.05,0.6055
dev,fan,ldn-diff-K1,52.16,45.82,49.11,0.6663
dev,fan,ldn-diff-K16,26.56,76.1,48.74,0.9992
dev,fan,conf-soft-m0-ldnK1,60.32,43.7,49.32,0.4101
dev,fan,conf-soft-m30-ldnK1,60.28,43.7,49.05,0.4267
dev,gearbox,raw-k1,65.16,50.32,54.37,0.4644
dev,gearbox,conf-soft-m0-k1,64.52,53.72,54.68,0.4586
dev,gearbox,conf-soft-m10-k1,64.78,52.38,54.53,0.4661
dev,gearbox,conf-soft-m30-k1,64.84,51.62,54.47,0.4648
dev,gearbox,conf-soft-m100-k1,65.0,50.8,54.47,0.4651
dev,gearbox,conf-soft-m300-k1,65.12,50.46,54.42,0.4646
dev,gearbox,ratio-soft-k1,64.4,53.1,54.95,0.4665
dev,gearbox,zscore-soft-k1,64.06,52.6,54.47,0.4709
dev,gearbox,conf-hard-m0-k1,64.9,53.52,54.68,0.4616
dev,gearbox,conf-hard-m10-k1,64.96,52.32,54.58,0.4659
dev,gearbox,conf-hard-m30-k1,65.1,51.5,54.47,0.4655
dev,gearbox,conf-hard-m100-k1,65.14,50.84,54.47,0.4648
dev,gearbox,conf-hard-m300-k1,65.14,50.44,54.47,0.4644
dev,gearbox,ratio-hard-k1,64.54,53.66,54.84,0.4632
dev,gearbox,zscore-hard-k1,64.94,53.68,54.47,0.4614
dev,gearbox,raw-k2,64.94,49.9,54.63,0.4735
dev,gearbox,conf-soft-m0-k2,64.32,53.08,54.95,0.4703
dev,gearbox,conf-soft-m10-k2,64.6,52.04,54.95,0.4729
dev,gearbox,conf-soft-m30-k2,64.86,50.82,54.74,0.4727
dev,gearbox,conf-soft-m100-k2,64.96,50.4,54.68,0.4725
dev,gearbox,conf-soft-m300-k2,64.96,50.18,54.63,0.4735
dev,gearbox,ratio-soft-k2,64.24,52.3,55.47,0.4766
dev,gearbox,zscore-soft-k2,63.94,52.12,54.68,0.4766
dev,gearbox,conf-hard-m0-k2,64.6,53.34,55.0,0.4747
dev,gearbox,conf-hard-m10-k2,64.74,52.02,54.79,0.4745
dev,gearbox,conf-hard-m30-k2,64.78,51.14,54.74,0.4737
dev,gearbox,conf-hard-m100-k2,64.92,50.44,54.58,0.4737
dev,gearbox,conf-hard-m300-k2,64.94,50.24,54.63,0.4735
dev,gearbox,ratio-hard-k2,64.3,53.26,55.0,0.4776
dev,gearbox,zscore-hard-k2,64.8,53.2,54.58,0.4737
dev,gearbox,raw-k4,64.82,49.46,55.37,0.4739
dev,gearbox,conf-soft-m0-k4,63.92,53.0,55.58,0.4709
dev,gearbox,conf-soft-m10-k4,64.28,51.5,55.42,0.4727
dev,gearbox,conf-soft-m30-k4,64.64,50.76,55.32,0.4739
dev,gearbox,conf-soft-m100-k4,64.82,50.1,55.42,0.4733
dev,gearbox,conf-soft-m300-k4,64.8,49.8,55.42,0.4735
dev,gearbox,ratio-soft-k4,64.2,51.84,55.58,0.477
dev,gearbox,zscore-soft-k4,63.8,51.44,55.53,0.4794
dev,gearbox,conf-hard-m0-k4,64.46,53.06,55.37,0.4747
dev,gearbox,conf-hard-m10-k4,64.68,51.7,55.42,0.4749
dev,gearbox,conf-hard-m30-k4,64.7,50.64,55.37,0.4745
dev,gearbox,conf-hard-m100-k4,64.82,50.0,55.37,0.4741
dev,gearbox,conf-hard-m300-k4,64.82,49.68,55.42,0.4739
dev,gearbox,ratio-hard-k4,64.18,52.7,55.37,0.48
dev,gearbox,zscore-hard-k4,64.62,53.06,55.37,0.4762
dev,gearbox,ldn-ratio-K1,62.78,54.4,52.11,0.4141
dev,gearbox,ldn-ratio-K16,63.32,61.82,56.16,0.3873
dev,gearbox,ldn-diff-K1,63.08,54.62,52.79,0.4638
dev,gearbox,ldn-diff-K16,35.22,50.58,50.21,0.3954
dev,gearbox,conf-soft-m0-ldnK1,62.64,54.06,52.11,0.4117
dev,gearbox,conf-soft-m30-ldnK1,62.7,54.1,52.11,0.4113
dev,slider,raw-k1,66.22,52.18,52.89,0.4228
dev,slider,conf-soft-m0-k1,65.7,52.12,53.79,0.4044
dev,slider,conf-soft-m10-k1,66.0,52.1,53.47,0.4198
dev,slider,conf-soft-m30-k1,66.24,52.1,53.58,0.4222
dev,slider,conf-soft-m100-k1,66.26,52.28,53.63,0.4222
dev,slider,conf-soft-m300-k1,66.2,52.12,53.05,0.4216
dev,slider,ratio-soft-k1,66.18,52.36,53.47,0.3919
dev,slider,zscore-soft-k1,65.86,52.26,53.26,0.3907
dev,slider,conf-hard-m0-k1,66.08,52.78,52.63,0.424
dev,slider,conf-hard-m10-k1,66.14,52.66,52.68,0.4228
dev,slider,conf-hard-m30-k1,66.16,52.46,52.84,0.4228
dev,slider,conf-hard-m100-k1,66.18,52.4,53.16,0.4228
dev,slider,conf-hard-m300-k1,66.22,52.34,53.32,0.4228
dev,slider,ratio-hard-k1,66.38,52.54,53.11,0.4226
dev,slider,zscore-hard-k1,66.62,52.64,53.11,0.423
dev,slider,raw-k2,65.52,51.58,52.21,0.4295
dev,slider,conf-soft-m0-k2,65.38,52.02,52.89,0.4139
dev,slider,conf-soft-m10-k2,65.58,51.94,52.89,0.4273
dev,slider,conf-soft-m30-k2,65.56,51.76,52.79,0.4281
dev,slider,conf-soft-m100-k2,65.62,51.76,52.89,0.4283
dev,slider,conf-soft-m300-k2,65.56,51.56,52.42,0.4289
dev,slider,ratio-soft-k2,65.56,51.8,52.63,0.4053
dev,slider,zscore-soft-k2,65.6,51.9,52.79,0.4075
dev,slider,conf-hard-m0-k2,65.44,52.16,51.63,0.42
dev,slider,conf-hard-m10-k2,65.46,51.9,51.63,0.4291
dev,slider,conf-hard-m30-k2,65.48,51.74,51.95,0.4295
dev,slider,conf-hard-m100-k2,65.46,51.68,52.11,0.4295
dev,slider,conf-hard-m300-k2,65.52,51.66,52.37,0.4295
dev,slider,ratio-hard-k2,65.72,51.84,52.11,0.4265
dev,slider,zscore-hard-k2,65.94,52.08,52.05,0.4299
dev,slider,raw-k4,64.82,50.56,52.21,0.422
dev,slider,conf-soft-m0-k4,64.82,50.6,52.53,0.4061
dev,slider,conf-soft-m10-k4,64.66,50.86,52.37,0.4188
dev,slider,conf-soft-m30-k4,64.66,50.74,52.47,0.4204
dev,slider,conf-soft-m100-k4,64.8,50.6,52.37,0.4216
dev,slider,conf-soft-m300-k4,64.82,50.64,52.47,0.4218
dev,slider,ratio-soft-k4,64.78,50.66,52.53,0.3947
dev,slider,zscore-soft-k4,64.48,50.68,52.42,0.3915
dev,slider,conf-hard-m0-k4,64.96,51.06,51.53,0.4115
dev,slider,conf-hard-m10-k4,64.84,50.86,51.53,0.4222
dev,slider,conf-hard-m30-k4,64.8,50.8,51.89,0.422
dev,slider,conf-hard-m100-k4,64.76,50.64,51.95,0.422
dev,slider,conf-hard-m300-k4,64.8,50.56,52.11,0.422
dev,slider,ratio-hard-k4,65.0,50.74,51.95,0.4154
dev,slider,zscore-hard-k4,65.3,50.98,51.95,0.4172
dev,slider,ldn-ratio-K1,59.68,63.5,57.58,0.3816
dev,slider,ldn-ratio-K16,66.76,63.28,60.37,0.4426
dev,slider,ldn-diff-K1,61.94,62.58,57.53,0.4032
dev,slider,ldn-diff-K16,52.6,39.31,47.84,0.3612
dev,slider,conf-soft-m0-ldnK1,59.92,63.72,57.63,0.3727
dev,slider,conf-soft-m30-ldnK1,59.9,63.7,57.58,0.3749
dev,ToyCar,raw-k1,65.2,43.28,51.05,0.9273
dev,ToyCar,conf-soft-m0-k1,58.74,56.72,54.68,0.844
dev,ToyCar,conf-soft-m10-k1,61.5,53.1,54.53,0.9077
dev,ToyCar,conf-soft-m30-k1,62.42,50.58,54.32,0.9196
dev,ToyCar,conf-soft-m100-k1,63.52,47.8,54.0,0.9263
dev,ToyCar,conf-soft-m300-k1,64.34,46.2,53.21,0.9271
dev,ToyCar,ratio-soft-k1,61.54,50.88,52.68,0.9059
dev,ToyCar,zscore-soft-k1,61.5,51.18,52.74,0.9
dev,ToyCar,conf-hard-m0-k1,58.04,54.24,52.32,0.8073
dev,ToyCar,conf-hard-m10-k1,59.54,51.8,52.32,0.8798
dev,ToyCar,conf-hard-m30-k1,60.78,49.66,52.32,0.92
dev,ToyCar,conf-hard-m100-k1,62.38,47.52,52.32,0.9269
dev,ToyCar,conf-hard-m300-k1,63.36,45.86,52.32,0.9273
dev,ToyCar,ratio-hard-k1,58.18,53.84,52.32,0.8073
dev,ToyCar,zscore-hard-k1,58.22,53.64,52.32,0.8073
dev,ToyCar,raw-k2,67.08,40.62,51.05,0.9495
dev,ToyCar,conf-soft-m0-k2,60.94,56.16,54.42,0.842
dev,ToyCar,conf-soft-m10-k2,63.06,52.06,54.47,0.9263
dev,ToyCar,conf-soft-m30-k2,63.98,49.24,54.21,0.9392
dev,ToyCar,conf-soft-m100-k2,65.18,46.1,53.63,0.9467
dev,ToyCar,conf-soft-m300-k2,65.9,43.36,52.58,0.9487
dev,ToyCar,ratio-soft-k2,63.68,48.88,52.63,0.9244
dev,ToyCar,zscore-soft-k2,63.76,48.82,52.32,0.9198
dev,ToyCar,conf-hard-m0-k2,59.38,53.12,52.42,0.8422
dev,ToyCar,conf-hard-m10-k2,61.24,50.72,52.42,0.896
dev,ToyCar,conf-hard-m30-k2,62.48,48.36,52.42,0.9422
dev,ToyCar,conf-hard-m100-k2,63.98,45.48,52.42,0.9487
dev,ToyCar,conf-hard-m300-k2,65.16,43.96,52.42,0.9495
dev,ToyCar,ratio-hard-k2,59.26,53.02,52.42,0.8295
dev,ToyCar,zscore-hard-k2,59.6,52.46,52.42,0.8424
dev,ToyCar,raw-k4,68.08,39.34,50.95,0.9345
dev,ToyCar,conf-soft-m0-k4,62.8,53.96,55.42,0.8319
dev,ToyCar,conf-soft-m10-k4,64.62,49.94,55.05,0.9117
dev,ToyCar,conf-soft-m30-k4,65.7,47.28,54.63,0.9246
dev,ToyCar,conf-soft-m100-k4,66.66,43.74,53.95,0.9309
dev,ToyCar,conf-soft-m300-k4,67.46,41.54,52.37,0.9319
dev,ToyCar,ratio-soft-k4,65.08,46.32,52.05,0.9061
dev,ToyCar,zscore-soft-k4,65.1,46.5,52.05,0.9022
dev,ToyCar,conf-hard-m0-k4,60.62,52.2,52.79,0.8273
dev,ToyCar,conf-hard-m10-k4,62.14,49.8,52.79,0.8917
