policy,config,eval_omega,crit_eval,dev_omega,crit_dev
ch0,raw-k1,57.7625,0.4508,57.0466,0.5379
ch0,conf-soft-m0-k1,60.1004,0.3943,54.8997,0.4084
ch0,conf-soft-m10-k1,59.5742,0.421,55.1264,0.4796
ch0,conf-soft-m30-k1,58.9524,0.4371,55.4875,0.5124
ch0,conf-soft-m100-k1,58.4544,0.4447,56.1914,0.5276
ch0,conf-soft-m300-k1,58.1701,0.4486,56.6789,0.5337
ch0,ratio-soft-k1,58.9702,0.4073,55.2571,0.4191
ch0,zscore-soft-k1,59.4284,0.3892,55.3889,0.4399
ch0,conf-hard-m0-k1,60.4052,0.3981,55.4972,0.4213
ch0,conf-hard-m10-k1,59.8048,0.4144,55.625,0.4695
ch0,conf-hard-m30-k1,59.3433,0.4344,55.8766,0.5082
ch0,conf-hard-m100-k1,58.7908,0.4442,56.4164,0.5261
ch0,conf-hard-m300-k1,58.3791,0.4479,56.8944,0.5329
ch0,ratio-hard-k1,59.4066,0.4109,55.3202,0.403
ch0,zscore-hard-k1,60.1155,0.4049,55.5303,0.4409
ch0,raw-k2,56.8037,0.4685,55.9695,0.5598
ch0,conf-soft-m0-k2,59.6572,0.3962,54.3885,0.4076
ch0,conf-soft-m10-k2,59.0643,0.4326,54.5795,0.4993
ch0,conf-soft-m30-k2,58.4026,0.4509,55.0089,0.5339
ch0,conf-soft-m100-k2,57.6787,0.4613,55.6353,0.5505
ch0,conf-soft-m300-k2,57.3675,0.466,56.2494,0.5558
ch0,ratio-soft-k2,58.2129,0.4014,54.7463,0.4282
ch0,zscore-soft-k2,58.5599,0.3988,54.7881,0.4319
ch0,conf-hard-m0-k2,59.9142,0.4005,54.9436,0.4146
ch0,conf-hard-m10-k2,59.3516,0.4226,55.0738,0.4907
ch0,conf-hard-m30-k2,58.7073,0.4466,55.3094,0.529
ch0,conf-hard-m100-k2,58.0494,0.4596,55.8369,0.5489
ch0,conf-hard-m300-k2,57.5562,0.4652,56.398,0.5554
ch0,ratio-hard-k2,58.97,0.4119,54.7826,0.3997
ch0,zscore-hard-k2,59.4244,0.4082,54.8766,0.4275
ch0,raw-k4,55.9196,0.4977,54.2043,0.5632
ch0,conf-soft-m0-k4,59.0058,0.3853,54.0299,0.4109
ch0,conf-soft-m10-k4,58.3707,0.4523,54.2315,0.5033
ch0,conf-soft-m30-k4,57.6918,0.4787,54.6413,0.5374
ch0,conf-soft-m100-k4,57.1237,0.4902,55.2728,0.5534
ch0,conf-soft-m300-k4,56.6993,0.4942,55.6353,0.5584
ch0,ratio-soft-k4,57.8455,0.4051,54.4308,0.4483
ch0,zscore-soft-k4,57.8858,0.399,54.4692,0.4307
ch0,conf-hard-m0-k4,59.575,0.3907,54.6402,0.4159
ch0,conf-hard-m10-k4,59.0169,0.4403,54.7858,0.4911
ch0,conf-hard-m30-k4,58.3664,0.4716,55.0408,0.5313
ch0,conf-hard-m100-k4,57.5346,0.4883,55.5165,0.5516
ch0,conf-hard-m300-k4,57.0336,0.4936,55.8384,0.5575
ch0,ratio-hard-k4,58.9567,0.4025,54.5281,0.4
ch0,zscore-hard-k4,58.8635,0.398,54.564,0.4308
ch0,ldn-ratio-K1,60.8891,0.432,55.2275,0.4161
ch0,ldn-ratio-K16,59.5972,0.4544,55.268,0.4223
ch0,ldn-diff-K1,61.1798,0.455,55.3638,0.4597
ch0,ldn-diff-K16,49.9015,0.5542,50.7376,0.4199
ch0,conf-soft-m0-ldnK1,60.9482,0.4225,55.2187,0.4057
ch0,conf-soft-m30-ldnK1,60.9473,0.4238,55.2069,0.4069
mix,raw-k1,53.0092,0.4553,55.9435,0.5348
