policy,machine,config,auc_source,auc_target,pauc,balance_ks
ch0,BlowerDustCollector,raw-k1,63.92,66.66,58.53,0.3634
ch0,BlowerDustCollector,conf-soft-m0-k1,64.06,67.48,58.47,0.3574
ch0,BlowerDustCollector,conf-soft-m10-k1,63.96,67.08,58.42,0.3626
ch0,BlowerDustCollector,conf-soft-m30-k1,63.78,66.88,58.26,0.3624
ch0,BlowerDustCollector,conf-soft-m100-k1,63.76,66.72,58.26,0.3638
ch0,BlowerDustCollector,conf-soft-m300-k1,63.8,66.66,58.37,0.3638
ch0,BlowerDustCollector,ratio-soft-k1,64.94,68.94,59.37,0.3596
ch0,BlowerDustCollector,zscore-soft-k1,63.32,66.62,57.0,0.3362
ch0,BlowerDustCollector,conf-hard-m0-k1,63.92,66.78,57.68,0.3418
ch0,BlowerDustCollector,conf-hard-m10-k1,63.98,66.92,58.32,0.3584
ch0,BlowerDustCollector,conf-hard-m30-k1,64.0,66.88,58.32,0.3632
ch0,BlowerDustCollector,conf-hard-m100-k1,63.84,66.76,58.37,0.3634
ch0,BlowerDustCollector,conf-hard-m300-k1,63.78,66.72,58.37,0.3634
ch0,BlowerDustCollector,ratio-hard-k1,65.6,67.86,58.63,0.3495
ch0,BlowerDustCollector,zscore-hard-k1,63.34,66.52,55.47,0.342
ch0,BlowerDustCollector,raw-k2,64.02,67.06,57.95,0.3156
ch0,BlowerDustCollector,conf-soft-m0-k2,64.54,67.9,58.26,0.3374
ch0,BlowerDustCollector,conf-soft-m10-k2,64.32,67.58,58.26,0.3228
ch0,BlowerDustCollector,conf-soft-m30-k2,64.34,67.3,58.21,0.3202
ch0,BlowerDustCollector,conf-soft-m100-k2,64.14,67.16,58.0,0.3166
ch0,BlowerDustCollector,conf-soft-m300-k2,64.08,67.1,58.05,0.3166
ch0,BlowerDustCollector,ratio-soft-k2,65.02,68.72,58.37,0.3232
ch0,BlowerDustCollector,zscore-soft-k2,63.7,67.26,56.74,0.3226
ch0,BlowerDustCollector,conf-hard-m0-k2,64.0,67.42,57.47,0.319
ch0,BlowerDustCollector,conf-hard-m10-k2,64.1,67.26,57.79,0.3178
ch0,BlowerDustCollector,conf-hard-m30-k2,64.04,67.14,57.84,0.3172
ch0,BlowerDustCollector,conf-hard-m100-k2,64.0,67.04,57.84,0.3168
ch0,BlowerDustCollector,conf-hard-m300-k2,64.04,67.02,57.89,0.3158
ch0,BlowerDustCollector,ratio-hard-k2,65.62,68.0,58.16,0.3166
ch0,BlowerDustCollector,zscore-hard-k2,63.7,66.84,55.79,0.3105
ch0,BlowerDustCollector,raw-k4,63.52,67.94,57.26,0.3071
ch0,BlowerDustCollector,conf-soft-m0-k4,63.54,68.74,57.0,0.3317
ch0,BlowerDustCollector,conf-soft-m10-k4,63.48,68.26,57.16,0.3121
ch0,BlowerDustCollector,conf-soft-m30-k4,63.46,68.12,57.16,0.3095
ch0,BlowerDustCollector,conf-soft-m100-k4,63.48,68.08,57.26,0.3081
ch0,BlowerDustCollector,conf-soft-m300-k4,63.54,67.94,57.26,0.3075
ch0,BlowerDustCollector,ratio-soft-k4,64.4,69.18,57.58,0.319
ch0,BlowerDustCollector,zscore-soft-k4,62.96,67.58,56.32,0.3327
ch0,BlowerDustCollector,conf-hard-m0-k4,63.42,68.16,56.79,0.3131
ch0,BlowerDustCollector,conf-hard-m10-k4,63.52,67.96,57.05,0.3105
ch0,BlowerDustCollector,conf-hard-m30-k4,63.56,67.94,57.16,0.3077
ch0,BlowerDustCollector,conf-hard-m100-k4,63.5,67.96,57.16,0.3073
ch0,BlowerDustCollector,conf-hard-m300-k4,63.5,67.96,57.21,0.3071
ch0,BlowerDustCollector,ratio-hard-k4,64.92,68.76,57.32,0.3123
ch0,BlowerDustCollector,zscore-hard-k4,62.82,67.56,55.21,0.3018
ch0,BlowerDustCollector,ldn-ratio-K1,61.46,61.7,58.37,0.3911
ch0,BlowerDustCollector,ldn-ratio-K16,59.4,57.72,59.21,0.4424
ch0,BlowerDustCollector,ldn-diff-K1,63.54,64.02,61.95,0.3794
ch0,BlowerDustCollector,ldn-diff-K16,48.24,62.26,51.74,0.3602
ch0,BlowerDustCollector,conf-soft-m0-ldnK1,61.42,61.64,58.37,0.3881
ch0,BlowerDustCollector,conf-soft-m30-ldnK1,61.44,61.6,58.37,0.3881
ch0,Sander,raw-k1,60.38,54.98,54.26,0.3873
ch0,Sander,conf-soft-m0-k1,59.64,55.38,53.53,0.3824
ch0,Sander,conf-soft-m10-k1,59.92,54.98,53.74,0.3875
ch0,Sander,conf-soft-m30-k1,60.0,54.86,53.79,0.3875
ch0,Sander,conf-soft-m100-k1,60.28,54.8,53.95,0.3873
ch0,Sander,conf-soft-m300-k1,60.32,54.84,54.21,0.3871
ch0,Sander,ratio-soft-k1,59.84,55.4,53.89,0.3895
ch0,Sander,zscore-soft-k1,59.76,55.46,54.26,0.3836
ch0,Sander,conf-hard-m0-k1,60.0,56.06,54.26,0.3869
ch0,Sander,conf-hard-m10-k1,60.2,55.46,54.26,0.3871
ch0,Sander,conf-hard-m30-k1,60.24,55.18,54.26,0.3873
ch0,Sander,conf-hard-m100-k1,60.26,55.04,54.26,0.3873
