policy,machine,config,auc_source,auc_target,pauc,balance_ks
mix,BlowerDustCollector,raw-k1,67.38,64.84,52.42,0.3677
mix,BlowerDustCollector,conf-soft-m0-k1,67.64,65.54,53.16,0.3681
mix,BlowerDustCollector,conf-soft-m10-k1,67.52,65.28,53.05,0.3683
mix,BlowerDustCollector,conf-soft-m30-k1,67.52,65.02,52.79,0.3699
mix,BlowerDustCollector,conf-soft-m100-k1,67.44,64.84,52.53,0.3691
mix,BlowerDustCollector,conf-soft-m300-k1,67.38,64.84,52.42,0.3683
mix,BlowerDustCollector,ratio-soft-k1,67.64,65.72,52.89,0.3616
mix,BlowerDustCollector,zscore-soft-k1,67.34,65.0,52.05,0.3685
mix,BlowerDustCollector,conf-hard-m0-k1,67.62,65.06,52.42,0.3772
mix,BlowerDustCollector,conf-hard-m10-k1,67.48,64.9,52.42,0.3673
mix,BlowerDustCollector,conf-hard-m30-k1,67.44,64.88,52.42,0.3679
mix,BlowerDustCollector,conf-hard-m100-k1,67.42,64.84,52.42,0.3677
mix,BlowerDustCollector,conf-hard-m300-k1,67.42,64.82,52.42,0.3677
mix,BlowerDustCollector,ratio-hard-k1,67.34,65.12,52.42,0.364
mix,BlowerDustCollector,zscore-hard-k1,67.66,64.56,51.79,0.3703
mix,BlowerDustCollector,raw-k2,65.6,65.16,51.68,0.3461
mix,BlowerDustCollector,conf-soft-m0-k2,66.0,65.74,52.16,0.3586
mix,BlowerDustCollector,conf-soft-m10-k2,65.78,65.52,51.89,0.3499
mix,BlowerDustCollector,conf-soft-m30-k2,65.68,65.38,51.84,0.3487
mix,BlowerDustCollector,conf-soft-m100-k2,65.64,65.3,51.79,0.3475
mix,BlowerDustCollector,conf-soft-m300-k2,65.64,65.24,51.74,0.3465
mix,BlowerDustCollector,ratio-soft-k2,65.84,66.04,52.05,0.3519
mix,BlowerDustCollector,zscore-soft-k2,65.7,65.26,51.42,0.3592
mix,BlowerDustCollector,conf-hard-m0-k2,66.06,65.22,51.68,0.3525
mix,BlowerDustCollector,conf-hard-m10-k2,65.94,65.18,51.68,0.3489
mix,BlowerDustCollector,conf-hard-m30-k2,65.84,65.18,51.68,0.3461
mix,BlowerDustCollector,conf-hard-m100-k2,65.7,65.16,51.68,0.3459
mix,BlowerDustCollector,conf-hard-m300-k2,65.62,65.16,51.68,0.3461
mix,BlowerDustCollector,ratio-hard-k2,65.72,65.5,51.68,0.3493
mix,BlowerDustCollector,zscore-hard-k2,66.08,64.72,51.53,0.3592
mix,BlowerDustCollector,raw-k4,64.12,65.7,51.21,0.3335
mix,BlowerDustCollector,conf-soft-m0-k4,64.16,66.2,51.74,0.3394
mix,BlowerDustCollector,conf-soft-m10-k4,64.24,65.88,51.63,0.3341
mix,BlowerDustCollector,conf-soft-m30-k4,64.12,65.78,51.32,0.3343
mix,BlowerDustCollector,conf-soft-m100-k4,64.04,65.76,51.16,0.3347
mix,BlowerDustCollector,conf-soft-m300-k4,64.08,65.7,51.21,0.3333
mix,BlowerDustCollector,ratio-soft-k4,64.32,66.18,51.58,0.3392
mix,BlowerDustCollector,zscore-soft-k4,64.16,65.9,50.89,0.3473
mix,BlowerDustCollector,conf-hard-m0-k4,64.14,65.66,51.21,0.3335
mix,BlowerDustCollector,conf-hard-m10-k4,64.2,65.68,51.21,0.3291
mix,BlowerDustCollector,conf-hard-m30-k4,64.12,65.66,51.21,0.3307
mix,BlowerDustCollector,conf-hard-m100-k4,64.12,65.68,51.21,0.3323
mix,BlowerDustCollector,conf-hard-m300-k4,64.1,65.68,51.21,0.3335
mix,BlowerDustCollector,ratio-hard-k4,64.18,66.04,51.21,0.3327
mix,BlowerDustCollector,zscore-hard-k4,64.18,65.52,51.21,0.3297
mix,BlowerDustCollector,ldn-ratio-K1,61.32,59.28,54.68,0.3501
mix,BlowerDustCollector,ldn-ratio-K16,61.86,56.6,59.47,0.4141
mix,BlowerDustCollector,ldn-diff-K1,61.5,61.04,58.63,0.3432
mix,BlowerDustCollector,ldn-diff-K16,39.08,44.36,49.74,0.3893
mix,BlowerDustCollector,conf-soft-m0-ldnK1,61.2,59.16,54.63,0.3547
mix,BlowerDustCollector,conf-soft-m30-ldnK1,61.18,59.14,54.68,0.3549
mix,Sander,raw-k1,55.96,45.58,52.0,0.342
mix,Sander,conf-soft-m0-k1,56.14,45.58,52.0,0.3428
mix,Sander,conf-soft-m10-k1,56.04,45.64,52.0,0.3424
mix,Sander,conf-soft-m30-k1,56.06,45.62,52.0,0.341
mix,Sander,conf-soft-m100-k1,56.0,45.58,52.0,0.3404
mix,Sander,conf-soft-m300-k1,56.0,45.58,52.0,0.3412
mix,Sander,ratio-soft-k1,56.06,45.84,52.0,0.344
mix,Sander,zscore-soft-k1,56.3,45.26,52.32,0.3358
mix,Sander,conf-hard-m0-k1,55.96,45.36,52.0,0.3471
mix,Sander,conf-hard-m10-k1,55.96,45.46,52.0,0.342
mix,Sander,conf-hard-m30-k1,55.96,45.58,52.0,0.3422
mix,Sander,conf-hard-m100-k1,55.96,45.56,52.0,0.3422
mix,Sander,conf-hard-m300-k1,55.96,45.58,52.0,0.342
mix,Sander,ratio-hard-k1,55.96,45.84,52.0,0.3503
mix,Sander,zscore-hard-k1,55.96,45.1,52.0,0.3406
mix,Sander,raw-k2,54.98,46.76,52.16,0.3388
mix,Sander,conf-soft-m0-k2,54.9,46.38,52.05,0.3354
mix,Sander,conf-soft-m10-k2,54.94,46.66,52.11,0.338
mix,Sander,conf-soft-m30-k2,54.86,46.74,52.16,0.3392
mix,Sander,conf-soft-m100-k2,54.94,46.82,52.16,0.3392
mix,Sander,conf-soft-m300-k2,55.0,46.8,52.16,0.3394
mix,Sander,ratio-soft-k2,55.08,46.98,52.16,0.3368
mix,Sander,zscore-soft-k2,55.16,46.28,52.32,0.3343
mix,Sander,conf-hard-m0-k2,54.98,46.46,52.16,0.3376
mix,Sander,conf-hard-m10-k2,54.98,46.54,52.16,0.3386
mix,Sander,conf-hard-m30-k2,54.98,46.64,52.16,0.3386
mix,Sander,conf-hard-m100-k2,54.98,46.7,52.16,0.3388
mix,Sander,conf-hard-m300-k2,54.98,46.76,52.16,0.3388
mix,Sander,ratio-hard-k2,54.98,46.94,52.16,0.3408
mix,Sander,zscore-hard-k2,54.98,46.12,52.16,0.337
mix,Sander,raw-k4,55.2,47.5,51.95,0.3386
mix,Sander,conf-soft-m0-k4,55.2,47.1,51.89,0.3285
mix,Sander,conf-soft-m10-k4,55.22,47.32,51.84,0.3349
mix,Sander,conf-soft-m30-k4,55.24,47.42,51.84,0.3374
mix,Sander,conf-soft-m100-k4,55.18,47.46,51.95,0.3378
