machine,nominal_fpr,domain,system,empirical_fpr
bearing,0.1,source,daco-m0,0.1
bearing,0.1,source,raw,0.1
bearing,0.1,target,daco-m0,0.26
bearing,0.1,target,raw,0.32
bearing,0.15,source,daco-m0,0.18
bearing,0.15,source,raw,0.22
bearing,0.15,target,daco-m0,0.38
bearing,0.15,target,raw,0.42
bearing,0.2,source,daco-m0,0.34
bearing,0.2,source,raw,0.38
bearing,0.2,target,daco-m0,0.48
bearing,0.2,target,raw,0.5
bearing,0.3,source,daco-m0,0.48
bearing,0.3,source,raw,0.5
bearing,0.3,target,daco-m0,0.6
bearing,0.3,target,raw,0.64
bearing,0.5,source,daco-m0,0.66
bearing,0.5,source,raw,0.66
bearing,0.5,target,daco-m0,0.76
bearing,0.5,target,raw,0.9
fan,0.1,source,daco-m0,0.22
fan,0.1,source,raw,0.22
fan,0.1,target,daco-m0,0.08
fan,0.1,target,raw,0.48
fan,0.15,source,daco-m0,0.24
fan,0.15,source,raw,0.24
fan,0.15,target,daco-m0,0.18
fan,0.15,target,raw,0.5
fan,0.2,source,daco-m0,0.3
fan,0.2,source,raw,0.3
fan,0.2,target,daco-m0,0.26
fan,0.2,target,raw,0.52
fan,0.3,source,daco-m0,0.36
fan,0.3,source,raw,0.36
fan,0.3,target,daco-m0,0.46
fan,0.3,target,raw,0.58
fan,0.5,source,daco-m0,0.52
fan,0.5,source,raw,0.52
fan,0.5,target,daco-m0,0.6
fan,0.5,target,raw,0.64
gearbox,0.1,source,daco-m0,0.06
gearbox,0.1,source,raw,0.06
gearbox,0.1,target,daco-m0,0.06
gearbox,0.1,target,raw,0.06
gearbox,0.15,source,daco-m0,0.1
gearbox,0.15,source,raw,0.1
gearbox,0.15,target,daco-m0,0.08
gearbox,0.15,target,raw,0.08
gearbox,0.2,source,daco-m0,0.14
gearbox,0.2,source,raw,0.14
gearbox,0.2,target,daco-m0,0.12
gearbox,0.2,target,raw,0.12
gearbox,0.3,source,daco-m0,0.24
gearbox,0.3,source,raw,0.22
gearbox,0.3,target,daco-m0,0.24
gearbox,0.3,target,raw,0.28
gearbox,0.5,source,daco-m0,0.44
gearbox,0.5,source,raw,0.48
gearbox,0.5,target,daco-m0,0.52
gearbox,0.5,target,raw,0.86
slider,0.1,source,daco-m0,0.06
slider,0.1,source,raw,0.06
slider,0.1,target,daco-m0,0.32
slider,0.1,target,raw,0.38
slider,0.15,source,daco-m0,0.14
slider,0.15,source,raw,0.14
slider,0.15,target,daco-m0,0.34
slider,0.15,target,raw,0.44
slider,0.2,source,daco-m0,0.22
slider,0.2,source,raw,0.24
slider,0.2,target,daco-m0,0.46
slider,0.2,target,raw,0.52
slider,0.3,source,daco-m0,0.24
slider,0.3,source,raw,0.28
slider,0.3,target,daco-m0,0.58
slider,0.3,target,raw,0.6
slider,0.5,source,daco-m0,0.58
slider,0.5,source,raw,0.6
slider,0.5,target,daco-m0,0.78
slider,0.5,target,raw,0.8
ToyCar,0.1,source,daco-m0,0.86
ToyCar,0.1,source,raw,0.94
ToyCar,0.1,target,daco-m0,0.22
ToyCar,0.1,target,raw,0.88
ToyCar,0.15,source,daco-m0,0.86
ToyCar,0.15,source,raw,0.94
ToyCar,0.15,target,daco-m0,0.3
ToyCar,0.15,target,raw,0.92
ToyCar,0.2,source,daco-m0,0.92
ToyCar,0.2,source,raw,0.94
ToyCar,0.2,target,daco-m0,0.3
ToyCar,0.2,target,raw,0.94
ToyCar,0.3,source,daco-m0,0.92
ToyCar,0.3,source,raw,0.94
ToyCar,0.3,target,daco-m0,0.4
ToyCar,0.3,target,raw,0.94
ToyCar,0.5,source,daco-m0,1.0
ToyCar,0.5,source,raw,1.0
ToyCar,0.5,target,daco-m0,0.46
ToyCar,0.5,target,raw,0.96
