policy,machine,config,auc_source,auc_target,pauc,balance_ks
ch0,ToyCar,raw-k1,78.3,66.08,52.95,0.9663
ch0,ToyCar,conf-soft-m0-k1,37.66,83.34,54.26,0.4624
ch0,ToyCar,conf-soft-m10-k1,38.18,83.3,54.47,0.7081
ch0,ToyCar,conf-soft-m30-k1,41.78,82.6,54.42,0.8582
ch0,ToyCar,conf-soft-m100-k1,49.88,82.04,54.47,0.924
ch0,ToyCar,conf-soft-m300-k1,59.86,79.32,53.63,0.9479
ch0,ToyCar,ratio-soft-k1,38.5,83.16,54.68,0.3594
ch0,ToyCar,zscore-soft-k1,38.7,83.16,54.68,0.5053
ch0,ToyCar,conf-hard-m0-k1,38.66,83.72,54.89,0.4838
ch0,ToyCar,conf-hard-m10-k1,38.76,83.72,54.89,0.7008
ch0,ToyCar,conf-hard-m30-k1,41.94,82.94,54.89,0.8558
ch0,ToyCar,conf-hard-m100-k1,49.86,82.46,54.89,0.923
ch0,ToyCar,conf-hard-m300-k1,59.5,79.9,54.68,0.9475
ch0,ToyCar,ratio-hard-k1,38.58,83.78,54.89,0.4095
ch0,ToyCar,zscore-hard-k1,38.62,83.72,54.89,0.5317
ch0,ToyCar,raw-k2,83.74,55.42,52.32,0.9927
ch0,ToyCar,conf-soft-m0-k2,37.02,84.26,53.42,0.4612
ch0,ToyCar,conf-soft-m10-k2,37.84,84.18,53.89,0.7495
ch0,ToyCar,conf-soft-m30-k2,42.08,83.84,54.16,0.8857
ch0,ToyCar,conf-soft-m100-k2,50.4,82.7,54.21,0.9562
ch0,ToyCar,conf-soft-m300-k2,65.04,79.24,54.26,0.978
ch0,ToyCar,ratio-soft-k2,38.44,83.44,54.32,0.4028
ch0,ToyCar,zscore-soft-k2,38.46,83.54,54.32,0.4444
ch0,ToyCar,conf-hard-m0-k2,38.52,84.1,54.58,0.4893
ch0,ToyCar,conf-hard-m10-k2,38.78,84.02,54.58,0.7408
ch0,ToyCar,conf-hard-m30-k2,42.18,83.72,54.58,0.8832
ch0,ToyCar,conf-hard-m100-k2,50.34,82.7,54.58,0.9545
ch0,ToyCar,conf-hard-m300-k2,64.52,79.36,54.58,0.9778
ch0,ToyCar,ratio-hard-k2,38.52,84.1,54.58,0.4127
ch0,ToyCar,zscore-hard-k2,38.52,84.08,54.58,0.4911
ch0,ToyCar,raw-k4,86.18,40.44,49.58,0.999
ch0,ToyCar,conf-soft-m0-k4,36.24,80.86,52.74,0.441
ch0,ToyCar,conf-soft-m10-k4,37.88,80.7,53.05,0.7455
ch0,ToyCar,conf-soft-m30-k4,42.94,80.28,53.68,0.8917
ch0,ToyCar,conf-soft-m100-k4,54.06,78.3,54.05,0.9618
ch0,ToyCar,conf-soft-m300-k4,70.3,71.24,54.11,0.9806
ch0,ToyCar,ratio-soft-k4,38.68,80.92,54.16,0.4642
ch0,ToyCar,zscore-soft-k4,38.56,80.96,54.16,0.4418
ch0,ToyCar,conf-hard-m0-k4,38.36,80.98,54.37,0.4929
ch0,ToyCar,conf-hard-m10-k4,39.26,80.8,54.37,0.7327
ch0,ToyCar,conf-hard-m30-k4,43.46,80.4,54.37,0.8875
ch0,ToyCar,conf-hard-m100-k4,54.06,78.24,54.37,0.9602
ch0,ToyCar,conf-hard-m300-k4,69.76,71.54,54.32,0.98
ch0,ToyCar,ratio-hard-k4,38.36,80.98,54.37,0.4036
ch0,ToyCar,zscore-hard-k4,38.36,80.98,54.37,0.5115
ch0,ToyCar,ldn-ratio-K1,35.38,82.4,54.63,0.5042
ch0,ToyCar,ldn-ratio-K16,31.16,82.72,52.74,0.4141
