policy,machine,config,auc_source,auc_target,pauc,balance_ks
mix,ToyCar,raw-k1,79.22,64.76,50.53,0.9729
mix,ToyCar,conf-soft-m0-k1,38.04,82.9,54.37,0.4426
mix,ToyCar,conf-soft-m10-k1,39.24,82.94,54.79,0.7065
mix,ToyCar,conf-soft-m30-k1,41.52,82.5,55.05,0.8608
mix,ToyCar,conf-soft-m100-k1,50.16,81.12,55.05,0.9315
mix,ToyCar,conf-soft-m300-k1,63.04,78.72,54.42,0.9535
mix,ToyCar,ratio-soft-k1,38.78,82.36,55.0,0.4042
mix,ToyCar,zscore-soft-k1,38.86,82.38,54.79,0.5487
mix,ToyCar,conf-hard-m0-k1,38.8,83.28,55.05,0.4608
mix,ToyCar,conf-hard-m10-k1,39.56,83.26,55.05,0.7012
mix,ToyCar,conf-hard-m30-k1,41.58,82.78,55.05,0.8582
mix,ToyCar,conf-hard-m100-k1,50.06,81.72,55.05,0.9311
mix,ToyCar,conf-hard-m300-k1,63.02,79.02,54.58,0.9533
mix,ToyCar,ratio-hard-k1,38.8,83.32,55.05,0.4222
mix,ToyCar,zscore-hard-k1,38.84,83.28,55.05,0.5184
mix,ToyCar,raw-k2,84.17,53.38,51.79,0.9927
mix,ToyCar,conf-soft-m0-k2,37.44,84.04,53.79,0.4414
mix,ToyCar,conf-soft-m10-k2,38.72,83.86,54.32,0.7303
mix,ToyCar,conf-soft-m30-k2,42.02,83.44,54.47,0.8842
mix,ToyCar,conf-soft-m100-k2,51.32,81.76,54.32,0.9562
mix,ToyCar,conf-soft-m300-k2,67.3,77.58,53.89,0.976
mix,ToyCar,ratio-soft-k2,38.48,83.32,54.26,0.4095
mix,ToyCar,zscore-soft-k2,38.5,83.14,54.21,0.4467
mix,ToyCar,conf-hard-m0-k2,38.55,84.14,54.37,0.4747
mix,ToyCar,conf-hard-m10-k2,39.15,84.08,54.37,0.7238
mix,ToyCar,conf-hard-m30-k2,41.91,83.7,54.37,0.8816
mix,ToyCar,conf-hard-m100-k2,51.09,82.24,54.37,0.9547
mix,ToyCar,conf-hard-m300-k2,67.25,78.32,54.05,0.9758
mix,ToyCar,ratio-hard-k2,38.53,84.14,54.37,0.4101
mix,ToyCar,zscore-hard-k2,38.55,84.12,54.37,0.5121
mix,ToyCar,raw-k4,86.18,38.54,49.89,0.9992
mix,ToyCar,conf-soft-m0-k4,37.04,79.82,54.05,0.4321
mix,ToyCar,conf-soft-m10-k4,38.54,79.78,54.26,0.7297
mix,ToyCar,conf-soft-m30-k4,42.58,79.06,54.47,0.8871
mix,ToyCar,conf-soft-m100-k4,56.04,76.1,54.53,0.9578
mix,ToyCar,conf-soft-m300-k4,70.48,69.8,54.0,0.98
mix,ToyCar,ratio-soft-k4,38.4,79.72,54.26,0.4691
mix,ToyCar,zscore-soft-k4,38.3,79.86,54.26,0.4212
mix,ToyCar,conf-hard-m0-k4,38.24,80.42,54.32,0.4687
mix,ToyCar,conf-hard-m10-k4,39.06,80.28,54.32,0.716
mix,ToyCar,conf-hard-m30-k4,42.62,79.62,54.32,0.8796
mix,ToyCar,conf-hard-m100-k4,55.48,76.72,54.32,0.956
mix,ToyCar,conf-hard-m300-k4,70.14,70.78,53.95,0.9794
mix,ToyCar,ratio-hard-k4,38.24,80.4,54.32,0.4196
mix,ToyCar,zscore-hard-k4,38.22,80.4,54.32,0.52
mix,ToyCar,ldn-ratio-K1,34.74,81.32,54.68,0.5129
mix,ToyCar,ldn-ratio-K16,31.52,82.44,52.42,0.4008
mix,ToyCar,ldn-diff-K1,36.84,78.72,53.32,0.6931
mix,ToyCar,ldn-diff-K16,35.2,79.5,56.84,0.8184
mix,ToyCar,conf-soft-m0-ldnK1,35.02,81.28,54.68,0.4602
mix,ToyCar,conf-soft-m30-ldnK1,34.96,81.28,54.68,0.4653
mix,ToyCarEmu,raw-k1,60.7,56.08,52.05,0.8053
mix,ToyCarEmu,conf-soft-m0-k1,45.6,71.72,50.63,0.4541
mix,ToyCarEmu,conf-soft-m10-k1,49.98,66.98,51.16,0.6897
