config,dev_omega,eval_omega,crit_dev,crit_eval
raw-k1,59.6143,57.949,0.6692,0.6813
conf-soft-m0-k1,58.9072,63.677,0.522,0.4437
conf-soft-m10-k1,59.1566,63.4033,0.6108,0.566
conf-soft-m30-k1,59.7555,62.4821,0.6431,0.6294
conf-soft-m100-k1,60.6365,60.8466,0.6592,0.6633
conf-soft-m300-k1,60.3796,59.4831,0.6644,0.673
ratio-soft-k1,60.1557,63.5873,0.5618,0.4482
zscore-soft-k1,60.2636,63.4273,0.5521,0.4762
conf-hard-m0-k1,58.9251,64.1422,0.5117,0.4603
conf-hard-m10-k1,59.0637,63.8396,0.594,0.5608
conf-hard-m30-k1,59.5828,62.9988,0.6369,0.6287
conf-hard-m100-k1,60.54,61.113,0.6576,0.6626
conf-hard-m300-k1,60.3835,59.6481,0.6639,0.6732
ratio-hard-k1,59.7655,63.8204,0.5281,0.4568
zscore-hard-k1,60.159,63.5271,0.5276,0.4936
raw-k2,58.2,56.5139,0.6529,0.7004
conf-soft-m0-k2,58.326,63.0188,0.5204,0.4332
conf-soft-m10-k2,58.5411,62.9426,0.5998,0.5658
conf-soft-m30-k2,59.163,62.1003,0.6281,0.6408
conf-soft-m100-k2,59.7232,60.2076,0.6448,0.6771
conf-soft-m300-k2,59.3359,58.4418,0.6498,0.6911
ratio-soft-k2,58.9688,63.2384,0.54,0.4503
zscore-soft-k2,59.7423,62.7232,0.5513,0.4855
conf-hard-m0-k2,58.3989,63.6196,0.5071,0.4435
conf-hard-m10-k2,58.4462,63.583,0.5906,0.5601
conf-hard-m30-k2,59.0379,62.677,0.624,0.638
conf-hard-m100-k2,59.7331,60.5185,0.6429,0.6765
conf-hard-m300-k2,59.2956,58.5849,0.6494,0.6901
ratio-hard-k2,58.662,63.5246,0.5057,0.4602
zscore-hard-k2,59.6319,63.064,0.5308,0.5064
raw-k4,56.7743,54.4526,0.6391,0.7132
conf-soft-m0-k4,57.774,61.7254,0.5026,0.4417
conf-soft-m10-k4,57.9567,62.3412,0.584,0.5659
conf-soft-m30-k4,58.6214,61.2563,0.6142,0.6461
conf-soft-m100-k4,58.3879,59.3538,0.6295,0.6867
conf-soft-m300-k4,57.9849,56.5306,0.6351,0.701
ratio-soft-k4,58.1355,61.9984,0.5119,0.4584
zscore-soft-k4,58.9554,61.6296,0.527,0.5009
conf-hard-m0-k4,57.8436,62.2046,0.4993,0.4506
conf-hard-m10-k4,57.9254,62.8939,0.5754,0.5568
conf-hard-m30-k4,58.5379,61.8965,0.6077,0.6413
conf-hard-m100-k4,58.356,59.5684,0.6272,0.686
conf-hard-m300-k4,57.9218,56.6775,0.6343,0.701
ratio-hard-k4,57.9155,62.2591,0.4926,0.437
zscore-hard-k4,59.0451,61.9489,0.5103,0.5154
ldn-ratio-K1,60.0131,62.5829,0.547,0.5264
ldn-ratio-K16,59.6314,60.1028,0.6115,0.6585
ldn-diff-K1,62.8449,62.2295,0.5829,0.579
ldn-diff-K16,51.1821,47.5969,0.4075,0.5985
conf-soft-m0-ldnK1,59.8764,62.6627,0.5456,0.5056
conf-soft-m30-ldnK1,59.8973,62.6302,0.5467,0.5094
