split,machine,config,auc_source,auc_target,pauc,balance_ks
dev,bearing,raw-k1,71.44,58.48,56.37,0.6859
dev,bearing,conf-soft-m0-k1,69.68,63.9,56.95,0.6592
dev,bearing,conf-soft-m10-k1,70.42,62.42,56.95,0.6758
dev,bearing,conf-soft-m30-k1,71.14,61.26,57.79,0.6814
dev,bearing,conf-soft-m100-k1,71.2,59.88,57.79,0.6838
dev,bearing,conf-soft-m300-k1,71.36,58.88,57.11,0.6851
dev,bearing,ratio-soft-k1,70.68,63.0,57.68,0.6568
dev,bearing,zscore-soft-k1,69.88,62.16,57.37,0.6614
dev,bearing,conf-hard-m0-k1,70.74,60.74,55.63,0.6539
dev,bearing,conf-hard-m10-k1,71.08,60.18,55.63,0.6602
dev,bearing,conf-hard-m30-k1,71.16,59.4,55.63,0.6778
dev,bearing,conf-hard-m100-k1,71.56,59.28,56.63,0.6824
dev,bearing,conf-hard-m300-k1,71.44,58.78,56.68,0.684
dev,bearing,ratio-hard-k1,70.7,60.64,55.63,0.6539
dev,bearing,zscore-hard-k1,70.76,60.98,56.68,0.6539
dev,bearing,raw-k2,70.56,56.0,55.63,0.6663
dev,bearing,conf-soft-m0-k2,67.94,62.2,57.79,0.6364
dev,bearing,conf-soft-m10-k2,69.24,60.44,58.05,0.6539
dev,bearing,conf-soft-m30-k2,70.0,58.78,58.11,0.6608
dev,bearing,conf-soft-m100-k2,70.26,57.28,57.32,0.6642
dev,bearing,conf-soft-m300-k2,70.4,56.78,56.74,0.6653
dev,bearing,ratio-soft-k2,69.36,61.18,58.26,0.6329
dev,bearing,zscore-soft-k2,68.88,60.24,57.42,0.6368
dev,bearing,conf-hard-m0-k2,69.86,59.18,55.16,0.6313
dev,bearing,conf-hard-m10-k2,70.12,58.22,55.16,0.6418
dev,bearing,conf-hard-m30-k2,70.4,57.34,55.26,0.6541
dev,bearing,conf-hard-m100-k2,70.66,56.78,56.21,0.6626
dev,bearing,conf-hard-m300-k2,70.66,56.26,55.95,0.6644
dev,bearing,ratio-hard-k2,69.98,59.2,55.16,0.6313
dev,bearing,zscore-hard-k2,70.2,59.26,56.21,0.6313
dev,bearing,raw-k4,67.82,55.12,55.42,0.6517
dev,bearing,conf-soft-m0-k4,66.66,60.36,58.68,0.6145
dev,bearing,conf-soft-m10-k4,67.7,58.7,58.21,0.6374
dev,bearing,conf-soft-m30-k4,68.06,57.02,57.26,0.6457
dev,bearing,conf-soft-m100-k4,67.7,56.14,57.05,0.6503
dev,bearing,conf-soft-m300-k4,67.78,55.72,56.68,0.6509
dev,bearing,ratio-soft-k4,67.4,59.94,58.79,0.6154
dev,bearing,zscore-soft-k4,66.92,59.02,57.42,0.6186
dev,bearing,conf-hard-m0-k4,67.3,58.52,54.95,0.6182
dev,bearing,conf-hard-m10-k4,67.52,57.38,55.05,0.6275
dev,bearing,conf-hard-m30-k4,67.72,56.36,55.05,0.641
dev,bearing,conf-hard-m100-k4,67.82,55.6,55.74,0.6479
dev,bearing,conf-hard-m300-k4,67.88,55.24,55.47,0.6505
dev,bearing,ratio-hard-k4,67.28,58.68,54.95,0.6182
dev,bearing,zscore-hard-k4,67.52,58.36,56.0,0.618
dev,bearing,ldn-ratio-K1,74.52,67.58,58.89,0.6774
dev,bearing,ldn-ratio-K16,73.02,69.18,62.58,0.7782
dev,bearing,ldn-diff-K1,73.62,69.2,61.26,0.7246
dev,bearing,ldn-diff-K16,51.66,53.44,48.05,0.3683
dev,bearing,conf-soft-m0-ldnK1,74.24,67.58,59.16,0.6788
dev,bearing,conf-soft-m30-ldnK1,74.46,67.5,59.05,0.6774
dev,fan,raw-k1,86.2,55.7,59.0,0.9691
dev,fan,conf-soft-m0-k1,38.64,86.78,64.37,0.4762
dev,fan,conf-soft-m10-k1,40.3,86.52,64.26,0.7315
dev,fan,conf-soft-m30-k1,47.94,85.24,64.21,0.8582
dev,fan,conf-soft-m100-k1,63.76,80.92,70.89,0.9261
dev,fan,conf-soft-m300-k1,75.18,73.14,63.95,0.9495
dev,fan,ratio-soft-k1,50.38,86.08,67.58,0.5604
dev,fan,zscore-soft-k1,53.98,84.62,71.0,0.5947
dev,fan,conf-hard-m0-k1,39.38,86.7,64.58,0.4727
dev,fan,conf-hard-m10-k1,40.74,86.44,64.58,0.7305
dev,fan,conf-hard-m30-k1,47.88,85.16,64.58,0.858
dev,fan,conf-hard-m100-k1,63.48,80.86,70.11,0.9261
dev,fan,conf-hard-m300-k1,75.16,73.1,63.79,0.9493
dev,fan,ratio-hard-k1,48.56,85.94,66.63,0.5618
dev,fan,zscore-hard-k1,53.3,84.48,69.84,0.58
dev,fan,raw-k2,86.16,49.62,59.37,0.9861
dev,fan,conf-soft-m0-k2,38.6,85.66,64.47,0.496
dev,fan,conf-soft-m10-k2,40.3,84.94,64.37,0.7531
dev,fan,conf-soft-m30-k2,50.06,83.44,65.26,0.8756
dev,fan,conf-soft-m100-k2,66.28,77.66,70.47,0.9499
dev,fan,conf-soft-m300-k2,78.46,67.52,63.63,0.9727
dev,fan,ratio-soft-k2,43.9,85.7,65.11,0.4861
dev,fan,zscore-soft-k2,54.7,82.82,71.05,0.6675
dev,fan,conf-hard-m0-k2,39.34,85.6,64.53,0.5065
dev,fan,conf-hard-m10-k2,40.98,84.88,64.53,0.7523
dev,fan,conf-hard-m30-k2,50.02,83.38,65.37,0.8743
dev,fan,conf-hard-m100-k2,66.2,77.72,70.68,0.9499
dev,fan,conf-hard-m300-k2,78.44,67.5,63.47,0.9727
dev,fan,ratio-hard-k2,41.6,85.5,64.53,0.4842
dev,fan,zscore-hard-k2,54.1,82.7,70.0,0.6634
dev,fan,raw-k4,86.72,43.22,57.16,0.9954
dev,fan,conf-soft-m0-k4,39.94,83.88,64.58,0.4788
dev,fan,conf-soft-m10-k4,42.9,82.42,64.84,0.7648
dev,fan,conf-soft-m30-k4,54.54,79.44,69.63,0.8998
dev,fan,conf-soft-m100-k4,71.8,68.16,60.32,0.9584
dev,fan,conf-soft-m300-k4,82.6,58.24,58.0,0.9812
dev,fan,ratio-soft-k4,41.9,85.04,65.16,0.4327
dev,fan,zscore-soft-k4,64.08,74.78,65.16,0.5782
dev,fan,conf-hard-m0-k4,40.04,83.92,64.68,0.5188
dev,fan,conf-hard-m10-k4,43.18,82.5,64.68,0.7737
dev,fan,conf-hard-m30-k4,54.1,79.54,68.42,0.8972
dev,fan,conf-hard-m100-k4,72.12,68.08,59.89,0.9576
dev,fan,conf-hard-m300-k4,82.56,58.16,57.74,0.9806
dev,fan,ratio-hard-k4,39.62,84.26,64.68,0.4481
dev,fan,zscore-hard-k4,63.86,74.38,64.21,0.5778
dev,fan,ldn-ratio-K1,48.9,78.02,49.37,0.6137
dev,fan,ldn-ratio-K16,38.68,86.52,48.42,0.4501
dev,fan,ldn-diff-K1,75.6,68.24,62.16,0.7275
dev,fan,ldn-diff-K16,51.38,69.14,48.26,0.5113
dev,fan,conf-soft-m0-ldnK1,46.46,79.4,49.16,0.5784
dev,fan,conf-soft-m30-ldnK1,47.02,79.14,49.16,0.5863
dev,gearbox,raw-k1,73.14,61.6,56.84,0.6857
dev,gearbox,conf-soft-m0-k1,73.06,61.34,55.0,0.5556
dev,gearbox,conf-soft-m10-k1,73.66,61.9,56.21,0.6543
dev,gearbox,conf-soft-m30-k1,73.52,61.94,56.21,0.6766
dev,gearbox,conf-soft-m100-k1,73.52,61.56,56.26,0.684
dev,gearbox,conf-soft-m300-k1,73.44,61.44,56.47,0.6851
dev,gearbox,ratio-soft-k1,72.84,61.9,55.42,0.6299
dev,gearbox,zscore-soft-k1,73.34,62.28,55.89,0.5826
dev,gearbox,conf-hard-m0-k1,69.34,62.22,55.63,0.5687
dev,gearbox,conf-hard-m10-k1,71.38,62.64,55.63,0.6321
dev,gearbox,conf-hard-m30-k1,72.68,62.26,55.95,0.6648
dev,gearbox,conf-hard-m100-k1,73.32,61.92,56.42,0.6836
dev,gearbox,conf-hard-m300-k1,73.3,61.58,56.58,0.6855
dev,gearbox,ratio-hard-k1,68.8,62.16,55.63,0.5675
dev,gearbox,zscore-hard-k1,70.36,62.48,55.63,0.5436
dev,gearbox,raw-k2,69.76,60.16,55.95,0.6824
dev,gearbox,conf-soft-m0-k2,71.96,60.14,54.21,0.5584
dev,gearbox,conf-soft-m10-k2,71.74,61.02,55.42,0.6507
dev,gearbox,conf-soft-m30-k2,70.58,60.96,55.58,0.6679
dev,gearbox,conf-soft-m100-k2,70.08,60.58,55.74,0.6776
dev,gearbox,conf-soft-m300-k2,69.9,60.28,55.79,0.6806
dev,gearbox,ratio-soft-k2,71.86,61.22,54.89,0.6236
dev,gearbox,zscore-soft-k2,71.98,61.16,55.37,0.561
dev,gearbox,conf-hard-m0-k2,68.64,61.24,54.84,0.5572
dev,gearbox,conf-hard-m10-k2,69.94,61.1,54.84,0.6479
dev,gearbox,conf-hard-m30-k2,70.52,61.12,55.26,0.6729
dev,gearbox,conf-hard-m100-k2,70.26,60.52,55.74,0.681
dev,gearbox,conf-hard-m300-k2,69.9,60.38,55.79,0.6824
dev,gearbox,ratio-hard-k2,68.6,61.16,54.84,0.5671
dev,gearbox,zscore-hard-k2,69.66,61.38,54.84,0.5444
dev,gearbox,raw-k4,67.02,58.2,55.53,0.6657
dev,gearbox,conf-soft-m0-k4,70.18,57.96,53.37,0.5541
dev,gearbox,conf-soft-m10-k4,69.26,58.34,54.68,0.6364
dev,gearbox,conf-soft-m30-k4,68.28,58.18,55.21,0.6503
dev,gearbox,conf-soft-m100-k4,67.74,58.0,55.42,0.659
dev,gearbox,conf-soft-m300-k4,67.32,58.26,55.47,0.6624
dev,gearbox,ratio-soft-k4,70.72,58.82,53.89,0.6046
dev,gearbox,zscore-soft-k4,70.5,58.88,54.42,0.542
dev,gearbox,conf-hard-m0-k4,66.98,59.42,54.47,0.5418
dev,gearbox,conf-hard-m10-k4,67.84,58.94,54.47,0.6354
dev,gearbox,conf-hard-m30-k4,67.8,58.72,54.84,0.659
dev,gearbox,conf-hard-m100-k4,67.44,58.3,55.47,0.6657
dev,gearbox,conf-hard-m300-k4,67.12,58.32,55.47,0.6657
dev,gearbox,ratio-hard-k4,67.08,59.86,54.47,0.5513
dev,gearbox,zscore-hard-k4,67.88,60.14,54.47,0.5263
dev,gearbox,ldn-ratio-K1,63.38,68.46,55.0,0.5216
dev,gearbox,ldn-ratio-K16,68.34,67.36,54.16,0.6317
dev,gearbox,ldn-diff-K1,67.04,69.8,56.05,0.58
dev,gearbox,ldn-diff-K16,44.3,47.14,50.0,0.3919
dev,gearbox,conf-soft-m0-ldnK1,63.22,68.36,55.0,0.52
dev,gearbox,conf-soft-m30-ldnK1,63.24,68.36,55.11,0.5244
dev,slider,raw-k1,82.94,68.38,55.26,0.5408
dev,slider,conf-soft-m0-k1,81.88,71.58,55.16,0.4848
dev,slider,conf-soft-m10-k1,82.44,69.96,55.11,0.5212
dev,slider,conf-soft-m30-k1,82.62,68.96,55.11,0.5382
dev,slider,conf-soft-m100-k1,82.8,68.58,55.21,0.5396
dev,slider,conf-soft-m300-k1,82.94,68.52,55.21,0.5404
dev,slider,ratio-soft-k1,82.32,70.36,55.05,0.4885
dev,slider,zscore-soft-k1,82.36,69.42,54.95,0.4909
dev,slider,conf-hard-m0-k1,82.58,69.04,55.26,0.4937
dev,slider,conf-hard-m10-k1,82.8,69.0,55.26,0.5061
dev,slider,conf-hard-m30-k1,82.86,68.7,55.26,0.5263
dev,slider,conf-hard-m100-k1,82.9,68.56,55.26,0.5376
dev,slider,conf-hard-m300-k1,82.92,68.48,55.26,0.54
dev,slider,ratio-hard-k1,82.4,68.92,55.26,0.4939
dev,slider,zscore-hard-k1,82.34,68.72,55.26,0.4929
dev,slider,raw-k2,82.12,68.32,54.89,0.5006
dev,slider,conf-soft-m0-k2,81.2,71.08,54.32,0.4507
dev,slider,conf-soft-m10-k2,81.72,69.38,54.47,0.4937
dev,slider,conf-soft-m30-k2,81.9,68.78,54.63,0.4982
dev,slider,conf-soft-m100-k2,82.08,68.44,54.79,0.499
dev,slider,conf-soft-m300-k2,82.06,68.46,54.74,0.4996
dev,slider,ratio-soft-k2,81.6,69.76,54.16,0.4628
dev,slider,zscore-soft-k2,81.82,69.26,54.47,0.4634
dev,slider,conf-hard-m0-k2,81.86,69.0,54.89,0.4653
dev,slider,conf-hard-m10-k2,81.96,68.94,54.89,0.4749
dev,slider,conf-hard-m30-k2,82.04,68.68,54.89,0.4929
dev,slider,conf-hard-m100-k2,82.06,68.48,54.89,0.4986
dev,slider,conf-hard-m300-k2,82.1,68.36,54.89,0.4996
dev,slider,ratio-hard-k2,81.68,68.92,54.89,0.4655
dev,slider,zscore-hard-k2,81.72,68.7,54.89,0.4644
dev,slider,raw-k4,80.38,67.66,54.37,0.4632
dev,slider,conf-soft-m0-k4,79.28,69.78,54.26,0.4291
dev,slider,conf-soft-m10-k4,79.92,68.76,54.05,0.4556
dev,slider,conf-soft-m30-k4,80.14,68.38,54.16,0.4588
dev,slider,conf-soft-m100-k4,80.34,68.0,54.42,0.4604
dev,slider,conf-soft-m300-k4,80.34,67.82,54.42,0.4614
dev,slider,ratio-soft-k4,79.64,69.32,53.95,0.4347
dev,slider,zscore-soft-k4,79.78,68.82,54.0,0.4436
dev,slider,conf-hard-m0-k4,80.08,68.4,54.37,0.4483
dev,slider,conf-hard-m10-k4,80.18,68.24,54.37,0.4531
dev,slider,conf-hard-m30-k4,80.28,68.06,54.37,0.4596
dev,slider,conf-hard-m100-k4,80.34,67.92,54.37,0.4612
dev,slider,conf-hard-m300-k4,80.36,67.78,54.37,0.4616
dev,slider,ratio-hard-k4,80.06,68.38,54.37,0.4485
dev,slider,zscore-hard-k4,80.1,68.16,54.37,0.4475
dev,slider,ldn-ratio-K1,81.18,63.98,57.84,0.6103
dev,slider,ldn-ratio-K16,81.14,71.58,63.21,0.6998
dev,slider,ldn-diff-K1,86.38,70.1,57.74,0.6061
dev,slider,ldn-diff-K16,58.32,47.28,47.95,0.3798
dev,slider,conf-soft-m0-ldnK1,81.42,64.0,58.11,0.6105
dev,slider,conf-soft-m30-ldnK1,81.38,64.02,58.11,0.6143
dev,ToyCar,raw-k1,72.08,44.8,52.95,0.8459
dev,ToyCar,conf-soft-m0-k1,62.08,56.52,50.58,0.6325
dev,ToyCar,conf-soft-m10-k1,66.24,52.52,51.53,0.7707
dev,ToyCar,conf-soft-m30-k1,68.66,49.56,52.16,0.8046
dev,ToyCar,conf-soft-m100-k1,70.56,47.24,53.05,0.8305
dev,ToyCar,conf-soft-m300-k1,71.18,45.94,52.84,0.838
dev,ToyCar,ratio-soft-k1,66.2,53.42,52.0,0.7301
dev,ToyCar,zscore-soft-k1,66.82,52.4,52.32,0.6848
dev,ToyCar,conf-hard-m0-k1,65.7,53.38,54.05,0.5576
dev,ToyCar,conf-hard-m10-k1,67.56,50.68,54.05,0.7325
dev,ToyCar,conf-hard-m30-k1,68.92,48.94,54.05,0.7976
dev,ToyCar,conf-hard-m100-k1,70.72,46.74,53.63,0.8269
dev,ToyCar,conf-hard-m300-k1,71.46,45.76,53.26,0.8356
dev,ToyCar,ratio-hard-k1,64.88,54.4,54.05,0.5683
dev,ToyCar,zscore-hard-k1,66.14,52.58,54.05,0.5889
dev,ToyCar,raw-k2,72.32,40.5,52.53,0.8139
dev,ToyCar,conf-soft-m0-k2,63.34,53.62,50.79,0.6204
dev,ToyCar,conf-soft-m10-k2,66.8,50.12,51.58,0.738
dev,ToyCar,conf-soft-m30-k2,68.98,47.18,52.05,0.7766
dev,ToyCar,conf-soft-m100-k2,70.92,44.32,52.53,0.802
dev,ToyCar,conf-soft-m300-k2,71.88,42.4,52.63,0.8087
dev,ToyCar,ratio-soft-k2,67.0,51.74,51.63,0.6857
dev,ToyCar,zscore-soft-k2,67.22,50.78,52.74,0.6541
dev,ToyCar,conf-hard-m0-k2,66.28,52.2,53.58,0.5515
dev,ToyCar,conf-hard-m10-k2,67.98,49.46,53.58,0.7137
dev,ToyCar,conf-hard-m30-k2,69.72,47.0,53.26,0.7606
dev,ToyCar,conf-hard-m100-k2,71.24,44.32,52.95,0.7901
dev,ToyCar,conf-hard-m300-k2,71.76,42.48,52.63,0.8067
dev,ToyCar,ratio-hard-k2,65.42,53.48,53.58,0.5594
dev,ToyCar,zscore-hard-k2,66.7,51.16,53.58,0.5873
dev,ToyCar,raw-k4,70.54,38.34,52.11,0.7851
dev,ToyCar,conf-soft-m0-k4,63.12,51.34,50.95,0.5927
dev,ToyCar,conf-soft-m10-k4,66.58,47.6,51.53,0.7079
dev,ToyCar,conf-soft-m30-k4,68.2,45.1,51.63,0.7463
dev,ToyCar,conf-soft-m100-k4,69.46,42.3,51.95,0.7699
dev,ToyCar,conf-soft-m300-k4,70.0,40.38,52.26,0.7792
dev,ToyCar,ratio-soft-k4,65.6,50.08,51.47,0.6444
dev,ToyCar,zscore-soft-k4,66.28,47.62,51.63,0.6305
dev,ToyCar,conf-hard-m0-k4,64.96,51.84,53.05,0.5325
dev,ToyCar,conf-hard-m10-k4,66.86,48.7,53.05,0.6691
dev,ToyCar,conf-hard-m30-k4,68.2,45.92,52.84,0.7119
dev,ToyCar,conf-hard-m100-k4,69.48,43.1,52.11,0.7543
dev,ToyCar,conf-hard-m300-k4,69.98,41.04,52.21,0.7721
dev,ToyCar,ratio-hard-k4,64.08,53.08,53.05,0.5483
dev,ToyCar,zscore-hard-k4,65.36,50.12,53.05,0.559
dev,ToyCar,ldn-ratio-K1,59.72,59.96,50.11,0.5887
dev,ToyCar,ldn-ratio-K16,67.76,53.94,50.53,0.8917
dev,ToyCar,ldn-diff-K1,65.04,59.98,52.95,0.6026
dev,ToyCar,ldn-diff-K16,50.08,52.62,48.79,0.3295
dev,ToyCar,conf-soft-m0-ldnK1,59.96,60.1,50.11,0.6121
dev,ToyCar,conf-soft-m30-ldnK1,59.92,59.9,50.11,0.6091
dev,ToyTrain,raw-k1,68.66,55.04,49.26,0.5311
dev,ToyTrain,conf-soft-m0-k1,67.94,54.86,49.37,0.4451
dev,ToyTrain,conf-soft-m10-k1,68.36,55.2,49.26,0.5012
dev,ToyTrain,conf-soft-m30-k1,68.38,55.28,49.58,0.5184
dev,ToyTrain,conf-soft-m100-k1,68.64,55.16,49.26,0.5261
dev,ToyTrain,conf-soft-m300-k1,68.58,55.06,49.26,0.5269
dev,ToyTrain,ratio-soft-k1,68.16,54.84,49.21,0.4499
dev,ToyTrain,zscore-soft-k1,67.74,54.8,49.16,0.459
dev,ToyTrain,conf-hard-m0-k1,68.4,55.94,49.26,0.4451
dev,ToyTrain,conf-hard-m10-k1,68.56,55.66,49.26,0.4804
dev,ToyTrain,conf-hard-m30-k1,68.66,55.36,49.26,0.5113
dev,ToyTrain,conf-hard-m100-k1,68.66,55.18,49.26,0.522
dev,ToyTrain,conf-hard-m300-k1,68.66,55.16,49.26,0.5283
dev,ToyTrain,ratio-hard-k1,68.4,55.42,49.26,0.4475
dev,ToyTrain,zscore-hard-k1,68.24,55.54,49.26,0.4562
dev,ToyTrain,raw-k2,69.18,53.36,49.0,0.537
dev,ToyTrain,conf-soft-m0-k2,67.7,53.52,49.26,0.5111
dev,ToyTrain,conf-soft-m10-k2,68.46,53.68,49.32,0.5299
dev,ToyTrain,conf-soft-m30-k2,68.9,53.52,49.32,0.5364
dev,ToyTrain,conf-soft-m100-k2,69.08,53.18,48.95,0.5382
dev,ToyTrain,conf-soft-m300-k2,69.12,53.36,49.0,0.5376
dev,ToyTrain,ratio-soft-k2,67.98,53.18,49.16,0.5123
dev,ToyTrain,zscore-soft-k2,67.56,53.06,48.95,0.5093
dev,ToyTrain,conf-hard-m0-k2,68.74,54.82,49.0,0.476
dev,ToyTrain,conf-hard-m10-k2,68.92,54.38,49.0,0.5257
dev,ToyTrain,conf-hard-m30-k2,69.08,53.94,49.0,0.5325
dev,ToyTrain,conf-hard-m100-k2,69.08,53.6,49.0,0.5362
dev,ToyTrain,conf-hard-m300-k2,69.14,53.44,49.0,0.5368
dev,ToyTrain,ratio-hard-k2,68.74,54.68,49.0,0.463
dev,ToyTrain,zscore-hard-k2,68.62,54.44,49.0,0.4741
dev,ToyTrain,raw-k4,69.42,52.24,48.84,0.5535
dev,ToyTrain,conf-soft-m0-k4,67.64,52.18,49.0,0.4931
dev,ToyTrain,conf-soft-m10-k4,68.48,52.44,49.21,0.5279
dev,ToyTrain,conf-soft-m30-k4,68.86,52.4,49.16,0.541
dev,ToyTrain,conf-soft-m100-k4,69.06,52.44,49.05,0.5497
dev,ToyTrain,conf-soft-m300-k4,69.34,52.42,48.89,0.5515
dev,ToyTrain,ratio-soft-k4,67.56,52.72,49.16,0.4921
dev,ToyTrain,zscore-soft-k4,67.66,52.66,49.11,0.5107
dev,ToyTrain,conf-hard-m0-k4,68.96,53.78,48.84,0.4796
dev,ToyTrain,conf-hard-m10-k4,69.26,53.04,48.84,0.5093
dev,ToyTrain,conf-hard-m30-k4,69.34,52.84,48.84,0.5261
dev,ToyTrain,conf-hard-m100-k4,69.38,52.38,48.84,0.5444
dev,ToyTrain,conf-hard-m300-k4,69.38,52.26,48.84,0.5505
dev,ToyTrain,ratio-hard-k4,68.94,54.24,48.84,0.4749
dev,ToyTrain,zscore-hard-k4,68.94,53.88,48.84,0.4964
dev,ToyTrain,ldn-ratio-K1,72.68,53.32,49.79,0.4794
dev,ToyTrain,ldn-ratio-K16,73.54,53.76,51.58,0.5408
dev,ToyTrain,ldn-diff-K1,72.2,54.52,49.84,0.4873
dev,ToyTrain,ldn-diff-K16,59.3,45.02,51.05,0.4487
dev,ToyTrain,conf-soft-m0-ldnK1,72.88,53.3,49.74,0.4851
dev,ToyTrain,conf-soft-m30-ldnK1,72.84,53.24,49.68,0.4826
dev,valve,raw-k1,62.5,46.52,52.53,0.4261
dev,valve,conf-soft-m0-k1,60.48,47.3,52.47,0.4004
dev,valve,conf-soft-m10-k1,61.46,47.02,52.47,0.4206
dev,valve,conf-soft-m30-k1,62.08,46.84,52.53,0.424
dev,valve,conf-soft-m100-k1,62.36,46.56,52.53,0.4246
dev,valve,conf-soft-m300-k1,62.4,46.58,52.53,0.4259
dev,valve,ratio-soft-k1,61.1,46.96,52.42,0.417
dev,valve,zscore-soft-k1,58.52,47.08,52.53,0.3911
dev,valve,conf-hard-m0-k1,60.98,46.4,52.53,0.3903
dev,valve,conf-hard-m10-k1,61.84,46.34,52.53,0.4162
dev,valve,conf-hard-m30-k1,62.22,46.34,52.53,0.4226
dev,valve,conf-hard-m100-k1,62.4,46.5,52.53,0.4248
dev,valve,conf-hard-m300-k1,62.46,46.54,52.53,0.4248
dev,valve,ratio-hard-k1,61.38,46.3,52.53,0.404
dev,valve,zscore-hard-k1,59.64,46.3,52.53,0.378
dev,valve,raw-k2,60.88,46.02,52.53,0.3842
dev,valve,conf-soft-m0-k2,59.36,46.9,52.53,0.3697
